CirculatingSupply,MktCapBTC,MktCapUSD,Names,Platform,PricesBTC,PricesUSD,TotalSupply,Vol24BTC,Vol24USD,Marketcap Ratio,Circulating Ratio
" 46,016,602.00 "," 2,654.62 "," 39,991,898.37 ",incent,WAVES, 0.00005769 , 0.869075 ," 46,016,625.00 ", 57.69 ," 869,120.00 ",2.173%,100%
" 3,268,314.64 ", 97.34 ," 1,466,368.46 ",billionaire-token,ETH, 0.00002936 , 0.442302 ," 3,315,310.50 ", 2.35 ," 35,397.50 ",2.414%,99%
" 18,834,628.30 "," 1,152.11 "," 17,351,222.68 ",memetic,, 0.00006000 , 0.903621 ," 19,201,880.75 ", 150.18 ," 2,261,700.00 ",13.035%,98%
" 2,160,286,328.70 ", 48.94 ," 736,991.49 ",mutual-coin,, 0.00000002 , 0.000331 ," 2,224,362,908.32 ", 13.67 ," 205,929.00 ",27.942%,97%
" 8,413,426.27 ", 779.71 ," 11,742,667.87 ",magnet,, 0.00009000 , 1.355430 ," 8,663,426.27 ", 21.05 ," 317,005.00 ",2.700%,97%
" 377,239,849.49 "," 1,627.95 "," 24,517,481.95 ",pinkcoin,, 0.00000417 , 0.062827 ," 390,239,849.49 ", 83.13 ," 1,251,890.00 ",5.106%,97%
" 3,295,367.32 "," 2,496.05 "," 37,591,339.25 ",internet-of-people,, 0.00072440 , 10.909700 ," 3,445,680.38 ", 430.57 ," 6,484,580.00 ",17.250%,96%
" 42,424,110.25 ", 13.33 ," 200,712.57 ",neuro,, 0.00000030 , 0.004518 ," 44,424,110.25 ", 0.28 ," 4,247.99 ",2.116%,95%
" 14,457,350.00 ", 568.79 ," 8,566,154.22 ",linx,, 0.00003680 , 0.554180 ," 15,457,350.00 ", 29.48 ," 443,996.00 ",5.183%,94%
" 31,424,688.26 "," 1,087.71 "," 16,381,182.77 ",social-send,, 0.00003236 , 0.487323 ," 33,614,630.88 ", 36.81 ," 554,354.00 ",3.384%,93%
" 92,147,500.00 "," 6,237.73 "," 93,971,700.00 ",trust,ETH, 0.00006238 , 0.939717 ," 100,000,000.00 ", 203.59 ," 3,067,120.00 ",3.264%,92%
" 17,873,502.44 "," 1,249.82 "," 18,828,672.11 ",mywish,ETH, 0.00006311 , 0.950756 ," 19,803,895.12 ", 28.05 ," 422,542.00 ",2.244%,90%
" 109,212,011.15 "," 1,817.46 "," 27,380,093.20 ",suncontract,ETH, 0.00001481 , 0.223133 ," 122,707,502.69 ", 75.95 ," 1,144,200.00 ",4.179%,89%
" 40,592,900.00 ", 108.18 ," 1,629,779.96 ",senderon,ETH, 0.00000237 , 0.035721 ," 45,625,900.00 ", 9.29 ," 139,933.00 ",8.586%,89%
" 88,355,631.00 "," 5,601.00 "," 84,352,900.00 ",elastic,, 0.00005601 , 0.843529 ," 100,000,000.00 ", 251.79 ," 3,792,010.00 ",4.495%,88%
" 886,211,987.68 ", 892.19 ," 13,436,681.53 ",e-dinar-coin,, 0.00000088 , 0.013288 ," 1,011,211,987.68 ", 18.99 ," 285,990.00 ",2.128%,88%
" 18,184,926.50 ", 158.21 ," 2,383,437.00 ",bitcoin-red,ETH, 0.00000753 , 0.113497 ," 21,000,000.00 ", 13.47 ," 202,856.00 ",8.511%,87%
