,AvailableSupply,BTCPrice,CMCname,Change1h,Change24h,Change7d,MaxSupply,Mcap,Symbol,TotalSupply,USDPrice,Vol24h,bctpages,lastentry,Algo,Network,Exchange,Exchange,Exchange,Exchange
cryptogenic-bullion,1007485.0,0.00040047,cryptogenic-bullion,6.65,5.88,0.7,,5786542.0,CBX,1007485.0,5.74355,7878.72,231,<b>Today</b> at 02:16:43 AM,POS,POS,Cryptopia,,,
cryptojacks,406568581.0,0.00000041,cryptojacks,6.26,0.77,72.64,,2410143.0,CJ,406568581.0,0.00592801,89162.2,53,"<span class=""edited"" title=""Last edit: October 24, 2016, 11:44:02 AM by pokerowned"">October 24, 2016, 11:33:57 AM</span>",X13,Hybrid,Cryptopia,,,
cryptonex,45061939.0,0.00041962,cryptonex,2.35,26.29,12.8,210000000.0,270464910.0,CNX,106499564.0,6.00207,253280.0,51,"January 12, 2018, 10:48:21 PM",,,,,,
cryptonite,383847151.0,0.00000107,cryptonite,-1.26,4.36,28.32,,5916774.0,XCN,383847151.0,0.0154144,133948.0,169,"<span class=""edited"" title=""Last edit: January 12, 2018, 03:31:58 PM by SHBlizzard"">January 12, 2018, 03:20:28 PM</span>",,,,,,
cryptopay,,0.00001436,cryptopay,-3.01,-12.5,5.0,,,CPAY,90414745.0,0.205521,107691.0,0,0,,,,,,
cryptopiafeeshares,,0.601845,cryptopiafeeshares,-10.85,-10.61,,,,CEFS,6300.0,8611.79,541319.0,0,0,,,,,,
cryptoping,9952089.0,0.00005191,cryptoping,-4.44,5.59,11.01,,7416864.0,PING,9952089.0,0.745257,8390.16,27,"December 24, 2017, 06:26:52 AM",,,,,,
cryptoworldx-token,59630200.0,0.00000019,cryptoworldx-token,-0.2,43.56,79.52,,161552.0,CWXT,59630200.0,0.00270923,297.159,0,0,,,,,,
crystal-clear,5123099.0,0.00003775,crystal-clear,2.13,12.65,35.49,10000000.0,2774880.0,CCT,6924060.0,0.541641,51554.7,33,"January 11, 2018, 07:28:45 PM",,,,,,
cthulhu-offerings,2622576.0,0.00000415,cthulhu-offerings,25.27,-6.51,-28.64,,154982.0,OFF,2622576.0,0.0590953,39098.7,33,"January 06, 2018, 01:43:08 AM",Quark,POW,Cryptopia,,,
cubits,,0.00000173,cubits,-1.1,33.71,225.4,,,QBT,,0.0247545,27405.9,33,"January 12, 2018, 07:03:28 PM",,,,,,
curecoin,23833595.0,0.00007195,curecoin,2.43,12.46,-7.3,,24512137.0,CURE,23833595.0,1.02847,1045580.0,223,"January 12, 2018, 02:17:38 AM",,,,,,Bittrex
cvcoin,9837033.0,0.00016695,cvcoin,0.51,0.08,122.62,,23443814.0,CVCOIN,15000000.0,2.38322,16274.6,93,"November 02, 2017, 09:08:27 PM",,,,,,
cybcsec,11834082.0,0.00000085,cybcsec,-1.25,63.91,-72.69,,143239.0,XCS,255834082.0,0.0121039,118130.0,0,0,,,,,,
cybercoin,,0.00000004,cybercoin,27.14,-6.45,106.49,,,CC,549267534.0,0.000571977,1210.1,16,"January 08, 2018, 09:42:48 PM",Scrypt,Hybrid,Cryptopia,,,
cybermiles,443063285.0,0.00002917,cybermiles,4.3,2.94,-1.9,,184619597.0,CMT,1000000000.0,0.416689,21354600.0,0,0,Scrypt,POW,Cryptopia,,Binance,
cycling-coin,,0.00000016,cycling-coin,-0.14,-2.19,51.56,,,CYC,,0.00228791,43.6009,11,"August 01, 2015, 08:40:55 AM",,,,,,
cyder,,0.00000393,cyder,3.76,81.24,4946.27,,,CYDER,80000000.0,0.0562343,184719.0,41,<b>Today</b> at 02:00:47 AM,,,,,,
cypher,6365285.0,0.00000403,cypher,0.55,6.58,-11.31,,365775.0,CYP,6365285.0,0.0574641,5.74641,133,"January 12, 2018, 08:42:43 PM",,,,,,
dai,3444953.0,0.00007025,dai,0.21,-0.19,1.47,,3472374.0,DAI,5701123.0,1.00796,324566.0,0,0,,,,,,
dalecoin,459217.0,0.00012039,dalecoin,1.09,-12.75,60.99,1000000.0,790689.0,DALC,1000000.0,1.72182,14534.7,33,"January 12, 2018, 05:11:41 AM",None,Asset,Cryptopia,,,
dao-casino,167270821.0,0.00001363,dao-casino,1.77,13.55,47.46,,32534175.0,BET,167270821.0,0.1945,23742.4,21,"January 08, 2018, 02:53:02 PM",,,,,,
dappster,100000000.0,0.00000007,dappster,-0.2,5.78,56.66,,99814.0,DLISK,100000000.0,0.000998136,169.032,118,"January 10, 2018, 03:08:55 PM",,,,,,
darcrus,13600388.0,0.00002779,darcrus,0.31,24.45,-9.71,,5402700.0,DAR,13600388.0,0.397246,151.942,93,"January 11, 2018, 10:46:25 PM",,,,,,
darklisk,,0.00000027,darklisk,-0.11,5.64,87.36,,,DISK,17888425.0,0.00386084,313.589,30,"November 03, 2017, 11:13:29 PM",,,,,,
darsek,16344529.0,0.00000450,darsek,0.99,10.0,61.92,,1051885.0,KED,16344529.0,0.064357,3420.59,0,0,Scrypt,Hybrid,Cryptopia,,,
dash,7814539.0,0.0766756,dash,3.02,9.29,-6.59,18900000.0,8570517168.0,DASH,7814539.0,1096.74,153769000.0,6573,<b>Today</b> at 02:23:23 AM,X11,POW,Cryptopia,Kucoin,Binance,Bittrex
dashcoin,17574970.0,0.00000605,dashcoin,5.83,25.77,18.48,,1519762.0,DSH,17574970.0,0.0864731,53744.8,80,"November 26, 2017, 07:52:58 PM",CryptoNight,POW,Cryptopia,,,
dashs,,0.00000599,dashs,-0.11,39.07,24.61,,,DASHS,,0.0856535,1077.24,14,"December 23, 2017, 10:29:21 PM",,,,,,
databits,22747809.0,0.00016202,databits,2.26,42.53,60.87,,52612951.0,DTB,22747809.0,2.31288,1503100.0,52,"January 12, 2018, 07:31:12 PM",,,,,,Bittrex
datum,757688829.0,0.00000811,datum,-2.29,19.91,4.67,,87733547.0,DAT,2653841598.0,0.115791,18361400.0,158,"January 12, 2018, 10:12:39 PM",,,,,,
davorcoin,,0.008351,davorcoin,12.65,29.06,42.42,,,DAV,10438849.0,119.494,445261.0,9,"January 12, 2018, 01:19:56 PM",,,,,,
daxxcoin,502881100.0,0.00000046,daxxcoin,2.68,3.53,-48.13,,3319186.0,DAXX,527881100.0,0.00660034,79187.4,39,<b>Today</b> at 02:36:35 AM,Ethash,POW,Cryptopia,,,
dcorp,8094002.0,0.0001303,dcorp,-1.76,-6.58,44.23,,15078884.0,DRP,8094002.0,1.86297,60764.3,0,0,Equihash,Asset,Cryptopia,,,
debitcoin,17999629.0,0.00000095,debitcoin,0.53,31.89,71.64,,244469.0,DBTC,25999629.0,0.0135819,1846.89,19,"<span class=""edited"" title=""Last edit: October 18, 2017, 09:20:31 PM by NCM"">October 18, 2017, 09:07:56 PM</span>",,,,,,
decent,51306089.0,0.00016908,decent,1.83,8.54,-16.68,,123906770.0,DCT,73197775.0,2.41505,1584240.0,641,"January 12, 2018, 06:31:53 PM",,,,,,Bittrex
decent-bet,93270980.0,0.00003579,decent-bet,5.53,13.57,1.79,,47649998.0,DBET,152041958.0,0.510877,267218.0,0,0,Other,POW,Cryptopia,,,
decentraland,1029190905.0,0.00001315,decentraland,1.92,9.28,8.05,,193286169.0,MANA,2805886393.0,0.187804,35257800.0,27,"January 12, 2018, 02:58:09 PM",,,,,Binance,Bittrex
decision-token,31301449.0,0.00024321,decision-token,-1.48,0.3,54.78,,108739355.0,HST,48240070.0,3.47394,1210670.0,11,"January 11, 2018, 10:28:46 AM",Other,POW,Cryptopia,Kucoin,,
decred,6544201.0,0.00868534,decred,5.92,23.5,10.63,21000000.0,812999205.0,DCR,6964201.0,124.232,4031470.0,489,"January 12, 2018, 05:31:47 PM",Blake256,Hybrid,Cryptopia,,,Bittrex
deepbrain-chain,900000000.0,0.00002559,deepbrain-chain,3.56,11.7,56.58,10000000000.0,329412600.0,DBC,10000000000.0,0.366014,30184900.0,12,<b>Today</b> at 02:48:34 AM,,,,Kucoin,,
deeponion,4775882.0,0.00112293,deeponion,7.78,-1.61,156.54,,76555474.0,ONION,19343746.0,16.0296,1550210.0,103,<b>Today</b> at 02:17:12 AM,X13,Hybrid,Cryptopia,Kucoin,,
delphy,29250004.0,0.00021546,delphy,-1.1,0.83,-17.83,,89962775.0,DPY,100000000.0,3.07565,1120260.0,0,0,,,,,,
deltacredits,,0.00002006,deltacredits,,,-21.61,,,DCRE,,0.290891,,39,"October 06, 2016, 07:34:13 PM",,,,,,
denarius-dnr,2146234.0,0.00021901,denarius-dnr,-2.03,0.36,-10.75,10000000.0,6748876.0,DNR,2146234.0,3.14452,90719.4,144,"January 12, 2018, 07:24:32 PM",Scrypt,Hybrid,Cryptopia,,,
dent,10614760961.0,0.00000504,dent,0.27,12.85,-8.97,,764463408.0,DENT,100000000000,0.0720189,34971200.0,67,"January 12, 2018, 09:43:26 PM",,,,Kucoin,,
dentacoin,325190215376,0.00000025,dentacoin,-0.36,37.77,236.87,8000000000000,1177308900.0,DCN,1841395638392,0.00362037,7995880.0,27,"January 12, 2018, 03:30:16 PM",None,Asset,Cryptopia,,,
desire,1012637.0,0.00033799,desire,2.28,46.27,72.21,,4908667.0,DSR,1772559.0,4.84741,361977.0,127,<b>Today</b> at 02:00:35 AM,,,,,,
destiny,1600000.0,0.00000560,destiny,-0.2,4.64,-15.31,,127761.0,DES,1600000.0,0.0798509,208.337,27,"January 18, 2017, 06:35:28 PM",,,,,,
deuscoin,,0.00001882,deuscoin,-0.16,4.71,-19.38,,,DEUS,25251211.0,0.269063,2322.85,2,"January 08, 2018, 07:02:26 PM",Other,POW,Cryptopia,,,
deutsche-emark,33503922.0,0.00000492,deutsche-emark,-2.55,-2.7,31.26,,2365454.0,DEM,40485898.0,0.0706023,16068.9,105,"January 09, 2018, 01:41:38 PM",SHA256,Hybrid,Cryptopia,,,
dew,,0.00015515,dew,0.6,19.51,5.24,,,DEW,200000000.0,2.21732,3931240.0,0,0,,,,,,
dfscoin,16649461.0,0.00002004,dfscoin,5.13,21.48,697.2,210000000.0,4785538.0,DFS,45091255.0,0.287429,822979.0,46,"January 12, 2018, 04:24:14 PM",Scrypt,Hybrid,Cryptopia,,,
diamond,2600190.0,0.00195911,diamond,0.93,0.6,5.56,4380000.0,72716904.0,DMD,2600190.0,27.966,258613.0,791,"January 12, 2018, 09:19:42 PM",,,,,,Bittrex
dibcoin,5000000.0,0.00000178,dibcoin,-1.63,35.8,73.89,,126422.0,DIBC,5000000000.0,0.0252844,3888.25,3,"January 11, 2018, 11:19:37 AM",Scrypt,POW,Cryptopia,,,
digibyte,9688322660.0,0.00000725,digibyte,0.4,11.69,-13.02,21000000000.0,1004698436.0,DGB,9688322660.0,0.103702,29550600.0,1765,"January 12, 2018, 10:12:32 PM",Scrypt,POW,Cryptopia,Kucoin,,Bittrex
digicube,2429126009.0,0.00000003,digicube,1.14,21.31,0.75,,1042209.0,CUBE,2429126009.0,0.000429047,29904.5,391,"January 08, 2018, 07:27:33 AM",,,,,,
digipulse,1402641.0,0.0004797,digipulse,0.2,6.97,65.12,,9660889.0,DGPT,16718085.0,6.88764,70634.7,49,"January 12, 2018, 01:56:37 PM",Other,POW,Cryptopia,,,
digital-bullion-gold,,0.00000029,digital-bullion-gold,-0.11,3.66,69.22,,,DBG,24523275.0,0.00414683,467.876,3,"December 01, 2017, 11:35:54 AM",,,,,,
digital-credits,5826388.0,0.00000009,digital-credits,0.16,2.51,143.58,,7497.0,DGCS,201284316.0,0.00128672,1095.26,10,"May 11, 2016, 08:16:11 AM",,,,,,
digital-developers-fund,5118307.0,0.00001534,digital-developers-fund,7.62,13.81,-18.44,6428932.0,1122696.0,DDF,6428932.0,0.219349,14871.7,13,"August 09, 2017, 02:18:07 PM",None,Asset,Cryptopia,,,
digital-money-bits,421300.0,0.00000033,digital-money-bits,5.63,12.32,73.07,50000000.0,1988.0,DMB,10421300.0,0.00471799,5334.23,38,<b>Today</b> at 12:55:30 AM,,,,,,
digital-rupees,510802961.0,0.00000005,digital-rupees,-5.96,23.05,150.68,,358673.0,DRS,510802961.0,0.000702175,12491.0,12,"January 12, 2018, 07:19:17 PM",,,,,,
digitalcoin,27782438.0,0.00000798,digitalcoin,4.32,7.79,-18.19,48166000.0,3183034.0,DGC,27782438.0,0.11457,10255.7,276,"January 12, 2018, 02:48:36 PM",Scrypt,POW,Cryptopia,,,
digitalnote,6893950415.0,0.00000402,digitalnote,0.2,5.21,-11.92,,396657914.0,XDN,6893950415.0,0.0575371,34309100.0,169,"January 12, 2018, 07:33:00 PM",,,,,,Bittrex
digitalprice,17977474.0,0.00002893,digitalprice,2.67,54.54,91.57,,7459321.0,DP,25477475.0,0.414926,155145.0,33,"January 11, 2018, 07:38:50 PM",SHA256,POS,Cryptopia,,,
digixdao,2000000.0,0.0154679,digixdao,6.53,13.87,19.27,,442494000.0,DGD,2000000.0,221.247,11347000.0,0,0,,,,,Binance,Bittrex
dimcoin,,0.00000186,dimcoin,-3.48,0.58,-44.82,9000000000.0,,DIM,9000000000.0,0.0265619,768002.0,0,0,,,,,,
dimecoin,539096740560,0.00000002,dimecoin,2.41,32.84,440.93,,145653696.0,DIME,539096740560,0.000270181,4699500.0,162,<b>Today</b> at 01:58:55 AM,Quark,POW,Cryptopia,,,
dimoncoin,,0.000000003,dimoncoin,-15.1,-38.51,91.45,,,FUDD,100000000.0,0.0000359661,26042.0,52,"January 08, 2018, 03:29:21 AM",,,,,,
dinastycoin,1444546627.0,0.00000038,dinastycoin,-0.2,15.08,53.13,,7619666.0,DCY,1444546627.0,0.00527478,33987.0,28,"<span class=""edited"" title=""Last edit: January 12, 2018, 09:16:07 PM by farsky"">January 12, 2018, 07:06:21 PM</span>",CryptoNight,POW,Cryptopia,,,
district0x,600000000.0,0.00002389,district0x,12.88,55.54,-2.03,,204715200.0,DNT,1000000000.0,0.341192,20751000.0,39,"January 11, 2018, 10:46:05 PM",,,,,Binance,Bittrex
divi,5143007.0,0.00067069,divi,-2.65,0.45,77.12,,49239197.0,DIVX,6171607.0,9.57401,262580.0,0,0,Other,POW,Cryptopia,,,
dix-asset,100000000000,0.000000001,dix-asset,1.32,57.75,752.52,,1833580.0,DIX,100000000000,0.0000183358,60933.0,23,<b>Today</b> at 03:05:26 AM,,,,,,
dnotes,130785943.0,0.00000879,dnotes,3.23,20.96,45.67,,16429722.0,NOTE,130785943.0,0.125623,46973.6,131,"January 12, 2018, 11:47:20 PM",Scrypt,POW,Cryptopia,,,
dogecoin,112746863110,0.00000094,dogecoin,2.33,17.79,7.4,,1512025632.0,DOGE,112746863110,0.0134108,58065000.0,1335,<b>Today</b> at 01:59:59 AM,Scrypt,POW,Cryptopia,,,Bittrex
dollar-online,753776.0,0.00000914,dollar-online,-0.19,-5.86,-1.22,,98238.0,DOLLAR,9601412.0,0.130328,237.692,2,"November 26, 2016, 12:05:57 PM",,,,,,
dollarcoin,9106714.0,0.00000140,dollarcoin,-0.2,1.44,-7.61,,181795.0,DLC,9106714.0,0.0199627,34.6516,14,"October 05, 2017, 06:07:58 AM",,,,,,
domraider,591500000.0,0.00001161,domraider,11.19,44.67,71.25,,98082530.0,DRT,1300000000.0,0.16582,41006.0,32,"January 10, 2018, 11:38:45 AM",,,,,,
donationcoin,,0.00000056,donationcoin,-1.62,24.87,137.11,,,DON,,0.00800613,4811.37,0,0,Scrypt,POW,Cryptopia,,,
dopecoin,116845228.0,0.00001183,dopecoin,3.16,12.39,3.2,,19761800.0,DOPE,116845228.0,0.169128,255682.0,458,<b>Today</b> at 01:17:36 AM,Scrypt,POW,Cryptopia,,,Bittrex
dotcoin,276486750.0,0.00000515,dotcoin,17.55,-3.66,171.53,890000000.0,20352687.0,DOT,541486750.0,0.0736118,1484430.0,32,"January 12, 2018, 07:01:01 PM",None,Asset,Cryptopia,,,
doubloon,18547845.0,0.00000087,doubloon,-1.6,-11.96,20.25,,230537.0,BOAT,18547845.0,0.0124293,14322.2,82,"January 12, 2018, 05:03:50 AM",,,,,,
dovu,63767410.0,0.00007821,dovu,5.94,18.21,155.19,,71193125.0,DOVU,963761390.0,1.11645,194873.0,17,"January 12, 2018, 09:46:39 PM",,,,,,
draftcoin,2796186.0,0.0001363,draftcoin,0.08,-31.89,30.94,,5466041.0,DFT,17449784.0,1.95482,89106.1,5,"January 12, 2018, 05:42:45 PM",,,,,,
dragonchain,238421940.0,0.00032311,dragonchain,4.53,16.27,41.21,,1101912296.0,DRGN,433494437.0,4.62169,7697120.0,29,"January 12, 2018, 10:31:21 PM",,,,Kucoin,,
dreamcoin,2453857.0,0.00000414,dreamcoin,-0.2,7.48,38.06,,144858.0,DRM,2453857.0,0.0590326,24.2268,36,"<span class=""edited"" title=""Last edit: January 01, 2018, 08:33:36 PM by Mathgamain"">December 23, 2017, 10:45:09 AM</span>",,,,,,
droxne,65242235.0,0.00000230,droxne,-12.63,-11.43,152.28,,2153105.0,DRXNE,85809456.0,0.0330017,55895.2,72,"January 12, 2018, 11:58:39 PM",POS,POS,Cryptopia,,,
dubaicoin-dbix,1855726.0,0.00192061,dubaicoin-dbix,1.29,14.62,213.27,,50877338.0,DBIX,1855726.0,27.4164,1599710.0,341,"January 12, 2018, 08:54:56 PM",Dagger,POW,Cryptopia,,,
dubstep,,0.00000022,dubstep,-0.14,45.3,4.19,,,DUB,,0.00314587,6.28688,46,"December 07, 2017, 09:26:32 PM",,,,,,
dutch-coin,,0.00000016,dutch-coin,-0.07,7.61,223.09,,,DUTCH,,0.00228747,4739.53,0,0,,,,,,
dynamic,1887926.0,0.00040219,dynamic,1.54,20.02,3.47,,10902152.0,DYN,4641830.0,5.77467,1249440.0,14,<b>Today</b> at 01:08:01 AM,,,,,,Bittrex
dynamic-trading-rights,989466187.0,0.00001518,dynamic-trading-rights,2.73,19.51,143.63,,214524185.0,DTR,3750000000.0,0.216808,315854.0,15,<b>Today</b> at 01:54:58 AM,,,,,,
dynamiccoin,,0.00000072,dynamiccoin,-1.37,12.29,5.67,,,DMC,10541442931.0,0.010257,14284.0,0,0,,,,,,
e-coin,4954904.0,0.00094798,e-coin,10.05,97.2,101.71,,67050753.0,ECN,213243796.0,13.5322,965.839,3,"January 11, 2018, 08:59:55 PM",,,,,,
e-dinar-coin,886211988.0,0.00000083,e-dinar-coin,1.75,-11.2,-15.34,999999999999999,10599450.0,EDR,1011211988.0,0.0119604,268629.0,14,"December 19, 2017, 10:54:32 AM",,,,,,
e-gulden,16310852.0,0.00003399,e-gulden,1.9,12.19,16.36,21000000.0,7961017.0,EFL,20636674.0,0.488081,119567.0,31,"January 10, 2018, 07:50:06 AM",Scrypt,POW,Cryptopia,,,Bittrex
ea-coin,,0.00009700,ea-coin,0.06,4.77,-14.14,100000000.0,,EAG,75206327.0,1.38798,403722.0,0,0,,,,,,
eaglecoin,2093421.0,0.00001793,eaglecoin,1.54,9.72,52.47,,536797.0,EAGLE,3633153.0,0.256421,2716.76,23,"January 11, 2018, 05:06:03 PM",,,,,,
earthcoin,11649101888.0,0.00000021,earthcoin,-1.38,-0.77,173.07,,35493882.0,EAC,11649101888.0,0.00304692,624121.0,583,"January 10, 2018, 07:32:09 AM",,,,,,
ebit,,0.00000051,ebit,4.16,40.47,48.36,,,EBIT,21000000.0,0.00733695,1901.17,90,"January 12, 2018, 08:13:40 PM",,,,,,
ebitcoin-cash,9285500.0,0.00000717,ebitcoin-cash,0.53,11.36,41.59,21000000.0,952247.0,EBCH,21000000.0,0.102552,6743.66,7,"January 12, 2018, 04:55:33 PM",,,,,,
ebittree-coin,1264511.0,0.00000027,ebittree-coin,4.01,8.67,-35.71,,4881.0,EBT,811264511.0,0.00386017,4943.78,0,0,,,,,,
eboostcoin,12000000.0,0.000116,eboostcoin,-1.28,10.52,177.87,99990000.0,19896480.0,EBST,99990001.0,1.65804,4518800.0,0,0,,,,,,Bittrex
ebtcnew,18897126.0,0.00002838,ebtcnew,8.41,7.44,15.34,,7700220.0,EBTC,21000000.0,0.407481,42568.7,450,<b>Today</b> at 12:11:03 AM,,,,,,
eccoin,25000000000.0,0.00000021,eccoin,-2.52,17.25,82.66,25000000000.0,74943000.0,ECC,25000000000.0,0.00299772,580722.0,142,<b>Today</b> at 02:28:37 AM,,,,,,
ecobit,444444444.0,0.00000680,ecobit,-7.18,-5.87,92.61,,43160933.0,ECOB,8888888888.0,0.0971121,4305.08,14,"December 30, 2017, 05:38:42 PM",None,Asset,Cryptopia,,,
ecocoin,1152691.0,0.00002541,ecocoin,7.91,17.59,-25.73,,418409.0,ECO,1154475.0,0.362984,13352.5,0,0,Scrypt,Hybrid,Cryptopia,,,
edgeless,82046276.0,0.0001762,edgeless,2.1,12.01,7.35,,206486683.0,EDG,132046997.0,2.51671,5189040.0,315,<b>Today</b> at 01:42:15 AM,,,,,,Bittrex
edrcoin,,0.00001457,edrcoin,-0.06,0.6,77.81,,,EDRC,3407292.0,0.208254,14305.1,13,"January 11, 2018, 11:21:08 AM",SHA256,Hybrid,Cryptopia,,,
eggcoin,,0.00000338,eggcoin,,5.51,85.77,,,EGG,,0.0483264,,9,"November 17, 2017, 06:47:40 PM",,,,,,
ego,60000001.0,0.00000018,ego,-0.09,58.86,118.37,,153790.0,EGO,60000001.0,0.00256317,703.315,13,"May 23, 2017, 05:45:45 PM",,,,,,
egold,,0.00001130,egold,-1.02,16.6,1662.8,,,EGOLD,20000000.0,0.161642,29903.6,32,<b>Today</b> at 02:26:01 AM,,,,,,
eidoo,22620193.0,0.00040319,eidoo,1.67,15.73,9.85,,130269237.0,EDO,90408327.0,5.75898,12853400.0,52,"January 11, 2018, 11:06:20 AM",,,,,Binance,
einsteinium,216296526.0,0.00005748,einsteinium,3.93,29.49,-9.39,,177583990.0,EMC2,216296526.0,0.821021,13196200.0,476,"January 12, 2018, 08:06:04 PM",Scrypt,POW,Cryptopia,,,Bittrex
elacoin,,0.00004046,elacoin,-7.31,23.61,86.57,,,ELC,,0.578443,2254.61,6,"January 01, 2018, 10:58:12 PM",Scrypt,POW,Cryptopia,,,
elastic,88588019.0,0.00006450,elastic,0.79,8.68,26.9,,81565470.0,XEL,100000000.0,0.920728,1240480.0,150,<b>Today</b> at 01:57:16 AM,,,,,,Bittrex
elcoin-el,11208967.0,0.00000631,elcoin-el,0.75,3.9,37.6,,1010859.0,EL,20935289.0,0.0901831,10334.3,0,0,,,,,,
electroneum,4997507466.0,0.00001113,electroneum,4.0,14.13,29.27,21000000000.0,795823079.0,ETN,5195262064.0,0.159244,6939520.0,305,"November 20, 2017, 03:57:37 PM",CryptoNight,Other,Cryptopia,,,
elementrem,25897305.0,0.00001370,elementrem,1.55,29.7,63.4,,5088458.0,ELE,25897305.0,0.196486,2601.14,67,<b>Today</b> at 01:01:46 AM,,,,,,
elixir,30884708.0,0.00010312,elixir,-1.98,-10.01,-13.02,,45464761.0,ELIX,30884708.0,1.47208,1306630.0,138,<b>Today</b> at 01:48:58 AM,,,,Kucoin,,
ellaism,3810505.0,0.00027705,ellaism,2.4,18.83,216.37,280000000.0,15093906.0,ELLA,3810505.0,3.96113,141450.0,74,<b>Today</b> at 12:23:08 AM,Ethash,POW,Cryptopia,,,
eltc,,0.00000004,eltc,0.22,-25.74,60.72,,,ELTC2,84000000.0,0.000579233,108.123,8,"December 20, 2017, 04:23:33 AM",,,,,,
eltcoin,90000000.0,0.00000891,eltcoin,-2.27,0.15,141.19,,11461320.0,ELTCOIN,100000000.0,0.127348,80060.7,20,"January 12, 2018, 07:56:03 PM",,,,,,
elysium,4005012.0,0.00000117,elysium,0.14,19.73,14.66,18000000.0,66993.0,ELS,4005012.0,0.0167274,3947.08,40,"January 12, 2018, 07:00:12 PM",,,,,,
embercoin,,0.000000004,embercoin,,,19.05,,,EMB,,0.0000614133,,77,<b>Today</b> at 02:39:11 AM,X13,Hybrid,Cryptopia,,,
embers,50000000.0,0.00001909,embers,15.16,45.67,68.74,,13645300.0,MBRS,50000000.0,0.272906,56201.3,36,"January 12, 2018, 12:05:54 AM",None,Asset,Cryptopia,,,
emerald,19117129.0,0.00000377,emerald,0.71,7.94,68.04,,1030736.0,EMD,19117129.0,0.0539169,15569.1,43,"January 12, 2018, 02:14:56 PM",Scrypt,POW,Cryptopia,,,
emercoin,41190793.0,0.00052396,emercoin,2.6,6.33,113.08,,308707697.0,EMC,41190793.0,7.49458,5206570.0,97,"January 12, 2018, 09:56:09 PM",SHA256,Hybrid,Cryptopia,,,Bittrex
emphy,7646898.0,0.00005205,emphy,1.39,-2.5,116.22,,5708180.0,EPY,15375000.0,0.74647,23017.0,13,"January 03, 2018, 01:03:39 AM",,,,,,
encrypgen,46110554.0,0.00007723,encrypgen,-2.13,4.24,102.1,,50835964.0,DNA,70981320.0,1.10248,406720.0,7,"January 11, 2018, 08:22:47 PM",Scrypt,POW,Cryptopia,,,
encryptotel,62131190.0,0.00002037,encryptotel,2.21,34.68,2.16,,18092727.0,ETT,77663987.0,0.291202,6999.77,214,"January 11, 2018, 09:51:22 AM",None,Asset,Cryptopia,,,
encryptotel-eth,,0.00001679,encryptotel-eth,-0.07,15.8,4.08,,,ETT,,0.240065,3044.21,214,"January 11, 2018, 09:51:22 AM",,,,,,
energo,,0.00001327,energo,-2.96,2.5,-3.01,,,TSL,1000000000.0,0.189658,8723410.0,0,0,,,,,,
energycoin,121545130.0,0.00002881,energycoin,2.65,35.66,63.69,,49986529.0,ENRG,121545130.0,0.411259,10635200.0,78,"January 12, 2018, 01:29:40 PM",,,,,,Bittrex
enigma,16627.0,0.00005497,enigma,0.14,25.34,13.82,5000000.0,13067.0,XNG,66627.0,0.785902,1801.42,14,"January 12, 2018, 05:21:25 PM",,,,,,
enigma-project,74836171.0,0.00047652,enigma-project,0.13,3.78,24.85,,510082594.0,ENG,150000000.0,6.81599,20003200.0,34,"December 11, 2017, 05:45:51 PM",,,,,Binance,Bittrex
enjin-coin,756192535.0,0.00002900,enjin-coin,1.87,28.62,5.18,,313633879.0,ENJ,1000000000.0,0.414754,43590500.0,68,"January 12, 2018, 09:14:48 PM",None,Asset,Cryptopia,,Binance,
entcash,,0.00001056,entcash,,,-11.5,,,ENT,,0.150869,,0,0,,,,,,
eos,599025594.0,0.00098156,eos,0.97,24.44,32.27,1000000000.0,8410199528.0,EOS,900000000.0,14.0398,2505070000.0,72,"January 12, 2018, 10:09:35 PM",,,,Kucoin,Binance,
eot-token,17749903.0,0.00000565,eot-token,2.63,-1.2,10.07,200000000.0,1433459.0,EOT,115949900.0,0.0807587,142507.0,30,"January 12, 2018, 11:12:24 PM",,,,,,
equitrader,10033478.0,0.00007313,equitrader,1.75,19.88,22.35,,10535453.0,EQT,11133478.0,1.05003,76039.0,74,"January 12, 2018, 01:29:06 PM",X11,Hybrid,Cryptopia,,,
erc20,1574741156.0,0.00000039,erc20,40.12,51.87,182.97,,8745372.0,ERC20,1693691126.0,0.00555353,41912.1,42,"January 12, 2018, 07:12:03 PM",,,,,,
ereal,69041802.0,0.00000050,ereal,11.49,5.44,38.58,,495028.0,EREAL,207000000.0,0.00716998,1327.11,11,"January 12, 2018, 03:52:17 PM",,,,,,
ergo,397300.0,0.00090313,ergo,0.94,-13.19,-19.19,5000000.0,5129938.0,EFYT,5000000.0,12.912,0.376739,3,"January 10, 2018, 08:37:30 PM",,,,,,
eroscoin,114744000.0,0.00000666,eroscoin,5.4,13.23,-4.32,,10968367.0,ERO,240000000.0,0.0955899,399249.0,5,"December 31, 2017, 02:54:12 AM",,,,,,
eryllium,5592856.0,0.00000629,eryllium,-0.35,4.05,13.17,,503246.0,ERY,15592856.0,0.0899801,29770.1,17,"January 12, 2018, 12:14:53 PM",X11,Hybrid,Cryptopia,,,
escoro,,0.00010402,escoro,4.23,-5.34,-65.41,3100000.0,,ESC,3100000.0,1.48842,116215.0,2,"January 11, 2018, 10:34:31 PM",,,,,,
