,AvailableSupply,BTCPrice,CMCname,Change1h,Change24h,Change7d,MaxSupply,Mcap,Symbol,TotalSupply,USDPrice,Vol24h,bctpages,lastentry,Algo,Network,Exchange,Exchange,Exchange,Exchange
airtoken,1050000000.0,0.00000483,airtoken,0.56,39.46,78.19,,72466485.0,AIR,1491492558.0,0.0690157,594424.0,33,"January 12, 2018, 08:41:01 PM",,,,,,
akuya-coin,,0.00000397,akuya-coin,-19.75,19.41,32.73,,,AKY,5202901.0,0.0568066,24989.9,8,"January 08, 2018, 04:41:05 PM",,,,,,
alis,38538648.0,0.00007723,alis,3.2,1.06,6.06,,42489245.0,ALIS,75209200.0,1.10251,328553.0,12,"January 12, 2018, 06:45:10 PM",None,Asset,Cryptopia,,,
allion,6199359.0,0.00000405,allion,12.3,21.6,74.5,,358603.0,ALL,7323359.0,0.0578452,5384.61,52,"January 11, 2018, 05:07:06 AM",Scrypt,Hybrid,Cryptopia,,,
allsafe,8030000.0,0.00000197,allsafe,1.93,-5.96,56.19,15000000.0,226314.0,ASAFE2,8030000.0,0.0281835,6900.22,35,"January 12, 2018, 06:42:27 PM",,,,,,
alpacoin,,0.00000136,alpacoin,-0.04,8.95,-10.05,,,APC,,0.0194753,1762.23,0,0,,,,,,
alphabitcoinfund,,0.0256563,alphabitcoinfund,-1.77,114.14,601.9,,,ABC,210000000.0,367.115,59964.3,0,0,None,Asset,Cryptopia,,,
alqo,19398551.0,0.00011011,alqo,-4.37,-10.04,58.15,,30529246.0,ALQO,19398551.0,1.57379,258892.0,42,"January 12, 2018, 03:41:42 PM",,,,,,
altcoin-alt,123175.0,0.0103555,altcoin-alt,2.6,19.43,262.25,,18237453.0,ALT,134063.0,148.061,32001.2,0,0,None,Asset,Cryptopia,,,
altcommunity-coin,187361.0,0.00079878,altcommunity-coin,13.9,32.16,59.69,,2147398.0,ALTCOM,256789.0,11.4613,18695.2,203,<b>Today</b> at 12:08:41 AM,,,,,,
amber,144590975.0,0.00007294,amber,1.09,2.79,0.2,,150650783.0,AMB,361477438.0,1.04191,4835390.0,77,"January 12, 2018, 10:43:01 AM",,,,Kucoin,Binance,
ambercoin,43699481.0,0.00000180,ambercoin,0.99,9.57,29.47,,1124947.0,AMBER,43699481.0,0.0257428,536.027,296,<b>Today</b> at 01:26:43 AM,,,,,,
ammo-rewards,77777777.0,0.00000170,ammo-rewards,-1.39,5.29,53.22,,1890171.0,AMMO,77777777.0,0.0243022,22345.9,4,"January 11, 2018, 04:39:43 PM",,,,,,
amsterdamcoin,50182858.0,0.00000357,amsterdamcoin,2.04,-1.01,145.4,,2567576.0,AMS,81450399.0,0.0511644,12437.3,165,<b>Today</b> at 03:11:33 AM,,,,,,
anarchistsprime,4394874.0,0.00000204,anarchistsprime,-1.97,-34.54,5.3,,127951.0,ACP,4394874.0,0.0291136,2674.39,24,"January 11, 2018, 11:49:25 PM",SHA256,POW,Cryptopia,,,
animecoin,,0.00000024,animecoin,0.06,-2.17,56.04,,,ANI,,0.00343415,31659.5,23,"January 12, 2018, 02:11:16 PM",Other,POW,Cryptopia,,,
anoncoin,2110317.0,0.00032003,anoncoin,2.65,3.59,-1.82,,9696927.0,ANC,2110317.0,4.59501,8731.66,261,"January 09, 2018, 11:08:44 AM",,,,,,
anryze,,0.00000250,anryze,-0.11,10.52,3.5,,,RYZ,112500000.0,0.0357416,7710.59,0,0,,,,,,
antibitcoin,17465159.0,0.00000087,antibitcoin,-0.24,15.09,1.32,,216371.0,ANTI,17465159.0,0.0123887,30915.8,28,"December 24, 2017, 05:47:11 PM",,,,,,
antilitecoin,31512613.0,0.00000008,antilitecoin,-11.15,-22.97,38.93,,36030.0,ALTC,31512613.0,0.00114335,96.2134,5,"January 10, 2018, 06:31:26 PM",,,,,,
antimatter,,0.00000003,antimatter,-0.07,58.57,74.46,,,ANTX,,0.0004289,3751.96,0,0,,,,,,
appcoins,100054312.0,0.00019552,appcoins,-2.24,2.91,,,279812889.0,APPC,246203093.0,2.79661,48891500.0,72,"January 12, 2018, 06:10:31 PM",,,,,Binance,
applecoin-apw,102841.0,0.00000001,applecoin-apw,-0.04,5.97,-14.78,2100000000.0,15.0,APW,1600102841.0,0.000142918,196.912,0,0,,,,,,
