CirculatingSupply,MktCapBTC,MktCapUSD,Names,PricesBTC,PricesUSD,Rank,TotalSupply,Vol24BTC,Vol24USD,VolRatio,SupplyRatio,bctpages,lastentry,Time,Platform,,,,,,,,,,,,,,,
" 12,000,000.00 "," 4,918.74 "," 74,176,400.00 ",aeron, 0.00024593700 ,3.70882,204," 20,000,000.00 "," 6,832.860 "," 103,042,000.000 ",138.91%,60.00%,72,4-Jan-18,04:42:20 AM,ETH,,,,,,,,,,,,,,,
" 219,120,536.41 "," 5,126.13 "," 77,303,972.28 ",potcoin, 0.00002339410 ,0.35279,136," 219,120,536.41 ", 355.488 ," 5,360,890.000 ",6.93%,100.00%,370,4-Jan-18,07:53:23 PM,,,,,,,,,,,,,,,,
" 3,726,780.90 "," 5,212.12 "," 78,600,471.17 ",genesis-vision, 0.00117479000 ,17.71620,199," 4,436,643.93 ", 622.979 ," 9,394,750.000 ",11.95%,84.00%,110,4-Jan-18,03:43:09 AM,ETH,,,,,,,,,,,,,,,
" 223,221,593.11 "," 5,221.09 "," 78,736,130.62 ",lomocoin, 0.00001693940 ,0.25545,135," 308,221,593.11 ", 240.595 ," 3,628,250.000 ",4.61%,72.42%,18,4-Jan-18,02:27:58 AM,,,,,,,,,,,,,,,,
" 88,355,631.00 "," 5,404.00 "," 81,494,300.00 ",elastic, 0.00005404000 ,0.81494,133," 100,000,000.00 ", 210.971 ," 3,181,530.000 ",3.90%,88.36%,147,4-Jan-18,07:36:14 AM,,,,,,,,,,,,,,,,
" 321,137,782.25 "," 5,481.09 "," 82,656,964.38 ",kickico, 0.00001197370 ,0.18057,195," 457,760,867.84 ", 685.682 ," 10,340,300.000 ",12.51%,70.15%,146,4-Jan-18,07:54:15 AM,ETH,,,,,,,,,,,,,,,
" 7,906,396.53 "," 6,559.01 "," 98,912,225.42 ",expanse, 0.00038796000 ,5.85058,125," 16,906,396.53 ", 211.136 ," 3,184,000.000 ",3.22%,46.77%,326,4-Jan-18,11:18:16 PM,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
