Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d,
ethlend,LEND,"$21,159,870 ",$0.02 ,"940,000,000 *","$492,558 ",-2.61%,-4.73%,-22.06%,
stox,STX,"$21,130,372 ",$0.50 ,"42,656,167 *","$1,637,860 ",1.68%,4.58%,-1.25%,
etherparty,FUEL,"$21,032,966 ",$0.04 ,"484,096,253 *","$1,207,620 ",0.96%,-7.99%,-2.83%,
spankchain,SPANK,"$20,849,955 ",$0.07 ,"300,043,386 *","$26,750 ",4.54%,-1.54%,107.79%,
hive,HVN,"$20,317,350 ",$0.05 ,"375,000,000 *","$385,388 ",-1.76%,13.17%,-11.96%,
dent,DENT,"$20,270,478 ",$0.00 ,"10,614,760,961 *","$517,002 ",12.16%,-14.92%,166.19%,
databits,DTB,"$19,822,122 ",$0.87 ,"22,747,809 *","$99,300 ",0.18%,17.54%,18.43%,
clams,CLAM,"$19,668,927 ",$7.13 ,"2,757,038 *","$705,731 ",1.14%,7.43%,-15.48%,
poet,POE,"$19,572,679 ",$0.01 ,"2,176,495,390 *","$632,855 ",-0.62%,-1.32%,24.32%,
rialto,XRL,"$19,465,935 ",$0.23 ,"85,000,000 *","$83,483 ",1.00%,5.78%,-0.27%,
oraclechain,OCT,"$19,403,760 ",$0.65 ,"30,000,000 *","$46,833 ",-0.34%,20.20%,-7.27%,
target-coin,TGT,"$19,386,520 ",$0.02 ,"952,429,892 *","$2,089 ",2.21%,3.62%,-8.37%,
foldingcoin,FLDC,"$19,280,548 ",$0.04 ,"550,358,603 *","$5,082,380 ",-1.23%,42.52%,110.09%,
the-champcoin,TCC,"$18,965,799 ",$0.11 ,"164,925,727 *","$41,744 ",2.10%,9.52%,38.37%,
suncontract,SNC,"$18,791,868 ",$0.17 ,"107,712,011 *","$289,994 ",-1.59%,9.90%,-7.11%,
obits,OBITS,"$18,787,725 ",$1.19 ,"15,752,000 *","$16,078 ",2.79%,8.44%,8.08%,
agrello-delta,DLT,"$18,762,482 ",$0.22 ,"85,978,873 *","$2,324,420 ",0.95%,-1.92%,0.44%,
solarcoin,SLR,"$18,643,598 ",$0.49 ,"38,424,326 *","$241,518 ",0.57%,2.02%,1.66%,
nimiq,NET,"$18,587,415 ",$1.77 ,"10,500,000 *","$253,993 ",1.19%,5.44%,31.26%,
atbcoin,ATB,"$18,544,030 ",$0.47 ,"39,529,228","$3,203,650 ",-5.22%,1.73%,-38.25%,
gambit,GAM,"$18,277,190 ",$15.25 ,"1,198,787 *","$117,554 ",-2.59%,3.36%,35.03%,
paragon,PRG,"$18,216,685 ",$0.28 ,"64,936,675 *","$168,860 ",1.08%,-1.84%,7.27%,
bridgecoin,BCO,"$18,209,934 ",$0.67 ,"27,000,000","$80,405 ",3.87%,9.78%,39.72%,
alis,ALIS,"$18,186,966 ",$0.47 ,"38,538,648 *","$154,713 ",-0.22%,2.09%,34.01%,
monetha,MTH,"$18,137,567 ",$0.08 ,"216,863,420 *","$919,019 ",0.85%,-0.67%,20.82%,
radium,RADS,"$18,026,219 ",$5.29 ,"3,406,585 *","$400,329 ",-1.01%,8.61%,-11.19%,
clearpoll,POLL,"$17,926,907 ",$2.56 ,"6,999,991 *","$734,159 ",-2.03%,-20.70%,195.19%,
sphere,SPHR,"$17,752,495 ",$5.76 ,"3,082,940 *","$312,705 ",-5.41%,3.72%,28.27%,
peerplays,PPY,"$17,623,986 ",$4.61 ,"3,825,355 *",$840 ,2.16%,10.04%,1.15%,
unobtanium,UNO,"$17,465,115 ",$88.25 ,"197,907","$39,047 ",0.82%,4.74%,11.08%,
adtoken,ADT,"$17,329,800 ",$0.03 ,"600,000,000 *","$60,258 ",-1.31%,5.69%,18.37%,
neoscoin,NEOS,"$17,282,488 ",$4.79 ,"3,606,650","$164,891 ",2.51%,7.33%,10.92%,
bitcny,BITCNY,"$17,123,001 ",$0.14 ,"119,018,000 *","$1,612,380 ",0.10%,1.40%,-5.67%,
domraider,DRT,"$16,814,630 ",$0.03 ,"591,500,000 *","$10,031 ",-0.44%,44.87%,17.03%,
vericoin,VRC,"$16,788,353 ",$0.55 ,"30,507,195","$232,402 ",1.80%,8.99%,-5.32%,
bcap,BCAP,"$16,438,500 ",$1.64 ,"10,000,000 *","$6,524 ",-0.44%,6.85%,-0.15%,
pascal-coin,PASC,"$16,236,499 ",$1.02 ,"15,931,100","$251,671 ",3.78%,1.21%,28.07%,
memetic,MEME,"$15,542,864 ",$0.84 ,"18,488,288","$73,222,200 ",4.79%,126.81%,52.73%,
vcash,XVC,"$15,465,039 ",$1.01 ,"15,363,639","$114,619 ",2.23%,6.94%,-2.90%,
expanse,EXP,"$15,429,412 ",$1.95 ,"7,906,397","$812,738 ",0.75%,4.16%,-16.99%,
bitdeal,BDL,"$15,214,757 ",$0.09 ,"175,583,793","$172,566 ",-0.04%,-1.31%,-37.93%,
florincoin,FLO,"$15,171,926 ",$0.11 ,"140,495,110","$358,075 ",0.73%,9.81%,-1.24%,
heat-ledger,HEAT,"$15,027,679 ",$0.49 ,"30,788,808 *","$14,215 ",16.80%,18.98%,33.88%,
tao,XTO,"$14,980,666 ",$0.46 ,"32,664,304",$971 ,2.10%,9.68%,20.30%,
mcap,MCAP,"$14,922,864 ",$1.42 ,"10,490,000 *","$804,336 ",2.02%,17.27%,13.98%,
kickico,KICK,"$14,912,354 ",$0.05 ,"321,137,782 *","$782,247 ",1.00%,6.43%,99.23%,
credo,CREDO,"$14,645,156 ",$0.03 ,"549,891,703 *","$17,015 ",-8.31%,47.14%,45.31%,
patientory,PTOY,"$14,613,830 ",$0.21 ,"70,000,000 *","$1,437,670 ",-0.34%,20.03%,-5.74%,
lomocoin,LMC,"$14,567,943 ",$0.07 ,"221,567,023 *","$916,143 ",0.90%,12.69%,-26.44%,
energycoin,ENRG,"$14,462,372 ",$0.12 ,"121,458,031","$59,800 ",-0.58%,9.76%,-0.84%,
primas,PST,"$14,461,133 ",$0.28 ,"51,200,000 *","$23,688 ",-0.25%,1.99%,17.87%,
mysterium,MYST,"$14,442,662 ",$0.74 ,"19,429,024 *","$800,417 ",0.28%,8.31%,2.18%,
deeponion,ONION,"$14,274,599 ",$3.16 ,"4,514,578","$161,512 ",-0.63%,-1.46%,47.41%,
nvo,NVST,"$14,160,675 ",$0.94 ,"15,000,000 *","$10,023 ",0.30%,-12.06%,98.59%,
nushares,NSR,"$14,154,209 ",$0.01 ,"2,777,600,756 *","$24,828 ",2.16%,-0.94%,8.86%,
mothership,MSP,"$13,878,004 ",$0.10 ,"140,000,000 *","$158,407 ",-2.12%,-8.28%,-13.71%,
maecenas,ART,"$13,629,044 ",$0.45 ,"30,150,150 *","$3,428 ",0.27%,-0.18%,20.07%,
toacoin,TOA,"$13,527,736 ",$0.01 ,"1,331,155,614","$24,543 ",2.09%,6.29%,-8.53%,
chronobank,TIME,"$13,496,120 ",$19.01 ,"710,113 *","$790,514 ",2.34%,10.46%,-3.84%,
blackmoon-crypto,BMC,"$13,387,212 ",$0.45 ,"30,049,251 *","$1,363,840 ",-0.11%,9.79%,0.87%,
swarm-city,SWT,"$13,361,253 ",$1.69 ,"7,885,955 *","$171,419 ",-1.16%,0.52%,-9.87%,
lunyr,LUN,"$13,281,292 ",$5.78 ,"2,297,853 *","$157,699 ",1.05%,6.39%,-9.61%,
e-coin,ECN,"$13,228,771 ",$2.79 ,"4,740,051",$507 ,1.52%,93.75%,-36.07%,
nexium,NXC,"$13,204,069 ",$0.20 ,"66,521,586 *","$266,333 ",1.69%,6.00%,-7.62%,
oxycoin,OXY,"$12,856,719 ",$0.16 ,"79,095,394","$13,536 ",-8.50%,-8.60%,12.65%,
change,CAG,"$12,724,127 ",$0.34 ,"37,109,887 *","$303,078 ",0.41%,14.78%,23.17%,
masternodecoin,MTNC,"$12,720,399 ",$0.26 ,"49,361,271 *","$2,772 ",3.02%,9.90%,2.62%,
curecoin,CURE,"$12,182,720 ",$0.51 ,"23,813,863","$110,735 ",2.59%,11.93%,15.01%,
novacoin,NVC,"$12,123,932 ",$6.30 ,"1,923,579","$166,236 ",1.93%,6.47%,1.74%,
sequence,SEQ,"$12,065,711 ",$0.27 ,"45,214,993","$155,761 ",2.24%,12.10%,37.28%,
encrypgen,DNA,"$12,036,806 ",$0.32 ,"37,603,855 *","$560,852 ",-7.17%,-44.21%,160.36%,
airtoken,AIR,"$12,005,595 ",$0.01 ,"1,050,000,000 *","$90,791 ",1.16%,4.61%,16.97%,
rivetz,RVT,"$11,928,898 ",$0.45 ,"26,244,468 *","$29,603 ",-1.92%,-6.29%,6.66%,
bitbean,BITB,"$11,912,528 ",$0.01 ,"2,259,670,000 *","$253,538 ",-0.53%,0.28%,19.48%,
dimecoin,DIME,"$11,796,838 ",$0.00 ,"539,096,740,560","$15,531 ",-23.08%,-57.09%,26.80%,
obsidian,ODN,"$11,745,450 ",$0.47 ,"25,000,000 *","$136,742 ",-6.99%,1.71%,-19.03%,
incent,INCNT,"$11,734,141 ",$0.25 ,"46,016,602 *","$172,684 ",1.97%,-4.76%,7.02%,
bitcloud,BTDX,"$11,312,078 ",$0.70 ,"16,049,825","$25,922 ",6.12%,-2.58%,-4.22%,
investfeed,IFT,"$11,232,912 ",$0.06 ,"191,381,257 *","$131,715 ",-7.32%,-16.44%,6.92%,
dubaicoin,DBIX,"$11,060,775 ",$6.68 ,"1,655,502","$127,888 ",4.12%,8.26%,-7.93%,
xenon,XNN,"$11,049,030 ",$0.04 ,"300,000,000 *","$35,114 ",-2.89%,-22.15%,-18.63%,
decision-token,HST,"$11,047,136 ",$0.35 ,"31,182,814 *","$191,168 ",1.57%,-3.56%,-9.29%,
blockcat,CAT,"$10,999,039 ",$1.49 ,"7,360,121 *","$126,155 ",-0.03%,8.20%,39.93%,
casinocoin,CSC,"$10,819,025 ",$0.28 ,"38,601,187","$7,199 ",4.25%,-35.20%,2.40%,
ethereum-movie-venture,EMV,"$10,684,557 ",$1.63 ,"6,566,666 *","$4,838 ",6.47%,24.25%,35.07%,
mooncoin,MOON,"$10,635,304 ",$0.00 ,"223,014,704,199","$32,581 ",-3.71%,1.66%,-4.89%,
bitmark,BTM,"$10,461,755 ",$1.42 ,"7,357,640","$814,743 ",4.67%,-25.58%,132.83%,
prizm,PZM,"$10,436,701 ",$0.89 ,"11,707,937 *","$7,313 ",1.90%,6.63%,6.26%,
pinkcoin,PINK,"$10,404,482 ",$0.03 ,"371,262,450","$191,023 ",1.16%,10.18%,-6.91%,
auroracoin,AUR,"$10,321,454 ",$1.19 ,"8,658,139","$134,786 ",1.32%,10.77%,34.30%,
bitusd,BITUSD,"$10,189,638 ",$1.00 ,"10,231,300 *","$814,810 ",0.49%,1.74%,-4.55%,
posw-coin,POSW,"$10,003,776 ",$0.23 ,"44,100,000 *","$91,803 ",4.30%,19.91%,51.82%,
quantum,QAU,"$9,982,466 ",$0.13 ,"77,429,074 *","$9,401 ",0.32%,8.87%,-9.90%,
newyorkcoin,NYC,"$9,775,691 ",$0.00 ,"129,032,781,759","$6,549 ",1.54%,150.18%,140.31%,
latoken,LA,"$9,724,499 ",$0.24 ,"40,323,010 *","$247,145 ",-1.54%,46.19%,55.68%,
stealthcoin,XST,"$9,687,321 ",$0.35 ,"27,589,774","$246,888 ",-8.45%,15.36%,-3.85%,
coss,COSS,"$9,680,622 ",$0.12 ,"83,000,000 *","$278,189 ",0.44%,7.82%,34.72%,
bitcrystals,BCY,"$9,675,599 ",$0.42 ,"23,192,531 *","$311,244 ",1.58%,9.13%,11.12%,
musicoin,MUSIC,"$9,084,792 ",$0.02 ,"495,108,292","$353,300 ",0.31%,10.65%,-1.84%,
bitcoin-plus,XBC,"$9,056,695 ",$87.43 ,"103,586 *","$81,377 ",1.31%,-0.35%,2.00%,
oax,OAX,"$9,051,498 ",$0.36 ,"25,009,250 *","$1,418,290 ",0.57%,-7.04%,-9.79%,
pesetacoin,PTC,"$8,984,124 ",$0.07 ,"131,832,534","$71,781 ",1.77%,12.86%,19.93%,
internet-of-people,IOP,"$8,946,107 ",$4.93 ,"1,816,107","$5,288,620 ",-6.19%,7.45%,-25.10%,
dynamic,DYN,"$8,925,513 ",$5.02 ,"1,778,745 *","$152,705 ",1.80%,9.74%,37.35%,
erc20,ERC20,"$8,793,638 ",$0.01 ,"1,574,741,156 *","$178,778 ",-0.85%,474.99%,571.61%,
primalbase,PBT,"$8,526,020 ","$8,526.02 ","1,000 *","$541,909 ",2.12%,11.02%,133.56%,
eccoin,ECC,"$8,493,050 ",$0.00 ,"25,000,000,000","$5,184 ",2.10%,-6.81%,39.66%,
bluecoin,BLU,"$8,479,458 ",$0.01 ,"574,683,675","$67,961 ",-0.29%,-3.66%,109.07%,
universal-currency,UNIT,"$8,475,120 ",$0.70 ,"12,134,791","$1,421,360 ",-0.81%,9.15%,383.39%,
syndicate,SYNX,"$8,467,500 ",$0.51 ,"16,594,970 *","$420,929 ",0.92%,10.19%,25.10%,
decent-bet,DBET,"$8,379,181 ",$0.12 ,"69,416,950 *","$47,253 ",1.23%,-22.31%,-12.21%,
dao-casino,BET,"$8,319,699 ",$0.05 ,"167,270,821 *","$10,317 ",-0.36%,-0.67%,6.75%,
blockmason,BCPT,"$8,257,872 ",$0.18 ,"45,166,200 *","$177,394 ",1.90%,-0.41%,-22.28%,
vibe,VIBE,"$8,250,847 ",$0.04 ,"188,498,144 *","$28,084 ",4.56%,3.27%,-8.98%,
ethereum-blue,BLUE,"$8,222,780 ",$0.25 ,"33,509,711 *","$38,261 ",-3.85%,-1.70%,-41.20%,
earthcoin,EAC,"$8,147,722 ",$0.00 ,"11,540,013,103","$13,573 ",-4.11%,2.76%,20.09%,
sexcoin,SXC,"$8,143,036 ",$0.06 ,"125,420,270","$34,551 ",0.02%,3.16%,13.74%,
cvcoin,CVCOIN,"$8,120,117 ",$0.83 ,"9,837,033 *",$715 ,1.44%,17.52%,-26.49%,
ebtcnew,EBTC,"$7,972,981 ",$0.42 ,"18,897,126 *","$252,419 ",-8.44%,-27.53%,158.34%,
korecoin,KORE,"$7,901,386 ",$3.91 ,"2,022,465 *","$473,240 ",-2.69%,7.31%,-27.67%,
myriad,XMY,"$7,807,253 ",$0.01 ,"1,536,228,750","$77,589 ",3.01%,1.51%,6.86%,
e-dinar-coin,EDR,"$7,754,568 ",$0.01 ,"886,211,988","$754,733 ",-40.02%,-5.38%,6.49%,
riecoin,RIC,"$7,750,139 ",$0.20 ,"39,706,225","$752,034 ",2.46%,17.82%,18.76%,
dopecoin,DOPE,"$7,562,678 ",$0.07 ,"111,085,648 *","$767,581 ",0.11%,21.44%,25.07%,
pluton,PLU,"$7,523,244 ",$8.85 ,"850,000 *","$8,153 ",1.04%,-15.60%,4.86%,
dovu,DOVU,"$7,419,277 ",$0.12 ,"63,761,400 *","$23,622 ",1.86%,-5.03%,-12.73%,
phore,PHR,"$7,406,222 ",$0.76 ,"9,749,455 *","$253,805 ",6.22%,18.97%,109.71%,
lampix,PIX,"$7,193,591 ",$0.06 ,"113,322,017 *","$72,028 ",-0.16%,6.44%,17.23%,
artbyte,ABY,"$7,144,256 ",$0.01 ,"792,537,250","$178,045 ",-0.40%,2.68%,17.48%,
circuits-of-value,COVAL,"$7,134,170 ",$0.01 ,"1,000,000,000 *","$161,228 ",-0.94%,11.00%,-7.42%,
astro,ASTRO,"$7,069,931 ",$2.13 ,"3,313,833 *","$11,834 ",-0.15%,4.09%,8.62%,
zrcoin,ZRC,"$7,005,510 ",$1.92 ,"3,640,512 *","$40,904 ",1.83%,4.77%,7.81%,
evergreencoin,EGC,"$6,999,291 ",$0.53 ,"13,321,301","$267,448 ",2.37%,15.12%,65.74%,
qwark,QWARK,"$6,987,468 ",$0.16 ,"42,426,714 *","$188,161 ",2.35%,9.29%,-11.41%,
vslice,VSL,"$6,981,352 ",$0.21 ,"33,390,496 *","$26,332 ",2.11%,39.91%,122.74%,
spectrecoin,XSPEC,"$6,974,017 ",$0.34 ,"20,785,264 *","$64,278 ",3.19%,11.46%,-13.30%,
hellogold,HGT,"$6,950,612 ",$0.03 ,"263,034,654 *","$87,426 ",-5.18%,79.62%,226.63%,
asiacoin,AC,"$6,933,490 ",$0.01 ,"1,176,437,894","$2,531 ",0.32%,-37.07%,-47.93%,
neutron,NTRN,"$6,928,324 ",$0.21 ,"32,634,437 *","$47,226 ",4.61%,-4.79%,11.95%,
htmlcoin,HTML5,"$6,906,382 ",$0.00 ,"40,659,020,000","$15,239 ",2.10%,9.67%,16.56%,
exclusivecoin,EXCL,"$6,902,017 ",$1.58 ,"4,366,541","$447,193 ",0.42%,12.11%,4.34%,
apx,APX,"$6,820,907 ",$9.70 ,"703,179 *","$111,976 ",-3.22%,1.57%,-11.88%,
karbowanec,KRB,"$6,817,448 ",$1.39 ,"4,916,807","$126,485 ",4.56%,22.01%,19.51%,
voise,VOISE,"$6,775,482 ",$0.01 ,"643,012,000 *","$478,789 ",1.87%,3.81%,15.17%,
primecoin,XPM,"$6,739,954 ",$0.31 ,"21,650,714","$127,531 ",1.56%,12.33%,18.87%,
putincoin,PUT,"$6,736,584 ",$0.02 ,"316,191,398","$5,263 ",6.02%,-3.87%,7.63%,
xp,XP,"$6,665,753 ",$0.00 ,"176,750,416,601","$224,478 ",0.21%,139.19%,227.07%,
trezarcoin,TZC,"$6,633,456 ",$0.08 ,"81,969,100","$13,492 ",0.87%,-3.47%,-8.78%,
bismuth,BIS,"$6,522,334 ",$1.06 ,"6,162,622","$191,577 ",0.11%,7.31%,26.21%,
trueflip,TFL,"$6,501,593 ",$1.04 ,"6,247,267 *","$36,994 ",-0.44%,17.73%,100.35%,
thegcccoin,GCC,"$6,433,743 ",$0.01 ,"498,372,758 *","$1,282 ",2.10%,12.85%,6.26%,
project-decorum,PDC,"$6,335,800 ",$0.13 ,"50,000,000 *","$255,298 ",-3.15%,21.91%,10.34%,
synergy,SNRG,"$6,320,230 ",$1.94 ,"3,257,733 *","$35,286 ",-0.23%,7.91%,1.24%,
europecoin,ERC,"$6,310,184 ",$0.63 ,"9,967,545","$819,576 ",0.23%,15.81%,6.86%,
cryptoping,PING,"$6,223,051 ",$0.63 ,"9,952,089 *","$39,057 ",10.11%,-31.05%,155.48%,
chaincoin,CHC,"$6,197,437 ",$0.44 ,"14,196,396","$40,620 ",2.56%,10.93%,24.05%,
bitswift,SWIFT,"$6,136,471 ",$1.51 ,"4,069,197 *","$48,936 ",3.25%,7.13%,-12.42%,
trustplus,TRUST,"$6,098,860 ",$0.19 ,"32,086,595 *","$94,409 ",-2.22%,6.51%,16.27%,
terracoin,TRC,"$5,983,479 ",$0.27 ,"21,832,733","$5,640 ",-5.21%,-2.57%,34.80%,
onix,ONX,"$5,937,750 ",$0.22 ,"27,432,814","$56,021 ",7.40%,-32.85%,-50.67%,
creditbit,CRB,"$5,916,308 ",$0.36 ,"16,507,925 *","$170,054 ",0.31%,11.32%,4.64%,
supercoin,SUPER,"$5,884,843 ",$0.12 ,"47,426,669","$30,658 ",4.37%,11.76%,-7.91%,
gobyte,GBX,"$5,868,226 ",$26.42 ,"222,147","$266,995 ",0.72%,3.57%,35.67%,
anoncoin,ANC,"$5,855,982 ",$2.77 ,"2,110,317","$11,558 ",19.68%,231.78%,370.73%,
goldcoin,GLD,"$5,850,927 ",$0.14 ,"40,682,576","$63,674 ",1.83%,8.80%,-3.84%,
divi,DIVX,"$5,807,535 ",$1.13 ,"5,143,007 *","$39,592 ",-2.03%,1.46%,-28.47%,
breakout-stake,BRX,"$5,794,504 ",$0.92 ,"6,268,082 *","$42,337 ",-2.35%,5.13%,13.53%,
cannabiscoin,CANN,"$5,782,120 ",$0.07 ,"77,231,176","$684,528 ",5.28%,20.39%,16.34%,
elixir,ELIX,"$5,766,662 ",$0.22 ,"26,131,684 *","$109,390 ",-5.58%,0.91%,-2.29%,
life,LIFE,"$5,650,369 ",$0.00 ,"6,555,819,578 *","$12,827 ",15.56%,19.30%,216.38%,
pirl,PIRL,"$5,640,744 ",$1.05 ,"5,378,232","$216,561 ",3.15%,4.79%,12.51%,
2give,2GIVE,"$5,549,268 ",$0.01 ,"518,535,917","$115,047 ",0.05%,4.65%,8.56%,
belacoin,BELA,"$5,446,512 ",$0.14 ,"38,971,300","$70,240 ",-0.52%,10.69%,4.99%,
rupee,RUP,"$5,384,003 ",$0.24 ,"22,459,550","$75,871 ",-1.07%,32.63%,10.49%,
oceanlab,OCL,"$5,333,271 ",$0.11 ,"46,500,000 *","$31,878 ",-2.56%,10.79%,54.01%,
sharechain,SSS,"$5,301,879 ",$0.00 ,"1,633,760,178 *","$347,454 ",-0.68%,-9.81%,-4.70%,
mercury-protocol,GMT,"$5,110,846 ",$0.03 ,"168,809,625 *","$11,100 ",-0.44%,3.89%,18.80%,
propy,PRO,"$5,056,112 ",$0.36 ,"14,057,212 *","$61,292 ",-4.74%,2.24%,15.11%,
vtorrent,VTR,"$5,052,332 ",$0.47 ,"10,815,966","$648,595 ",-4.40%,8.28%,64.38%,
bankcoin,B@,"$5,008,475 ",$0.49 ,"10,291,781 *","$83,094 ",564.04%,-27.03%,-71.39%,
dcorp,DRP,"$4,912,282 ",$0.61 ,"8,094,002 *","$32,527 ",2.18%,-5.55%,-24.24%,
flixxo,FLIXX,"$4,837,606 ",$0.07 ,"71,351,127 *","$133,907 ",2.74%,-9.61%,-11.64%,
parkbyte,PKB,"$4,835,534 ",$1.02 ,"4,764,026 *","$117,908 ",2.10%,8.31%,-2.58%,
creativecoin,CREA,"$4,774,061 ",$0.37 ,"12,914,455","$29,940 ",0.15%,5.58%,46.95%,
breakout,BRK,"$4,748,817 ",$0.26 ,"18,142,083","$64,611 ",-0.05%,4.03%,5.96%,
centurion,CNT,"$4,741,836 ",$0.06 ,"73,877,869","$14,880 ",-3.98%,29.72%,2.14%,
b2bx,B2B,"$4,729,520 ",$0.30 ,"15,864,963 *","$5,946 ",-0.49%,-11.08%,-10.57%,
geocoin,GEO,"$4,472,133 ",$1.34 ,"3,335,322","$50,831 ",1.65%,8.13%,16.75%,
bitcoin-red,BTCRED,"$4,461,479 ",$0.26 ,"17,344,926 *","$239,805 ",-3.82%,-1.96%,-47.92%,
martexcoin,MXT,"$4,421,469 ",$1.57 ,"2,819,671","$1,916 ",5.08%,6.50%,45.87%,
atmos,ATMS,"$4,414,226 ",$0.04 ,"100,321,030 *","$7,633 ",2.07%,5.22%,37.67%,
mintcoin,MINT,"$4,410,701 ",$0.00 ,"24,947,260,808 *","$3,303 ",-34.37%,-15.19%,31.45%,
blitzcash,BLITZ,"$4,400,035 ",$1.07 ,"4,111,029 *","$117,989 ",0.92%,-5.70%,-2.26%,
mybit-token,MYB,"$4,393,714 ",$1.68 ,"2,616,334 *","$20,995 ",0.96%,-5.02%,8.19%,
shield,XSH,"$4,300,163 ",$0.01 ,"468,563,668","$27,170 ",-0.44%,13.14%,13.22%,
innova,INN,"$4,236,279 ",$4.39 ,"964,810","$103,820 ",0.18%,10.60%,6.84%,
dotcoin,DOT,"$4,115,558 ",$0.02 ,"270,527,250 *","$40,894 ",1.07%,0.60%,39.79%,
starta,STA,"$4,095,343 ",$0.81 ,"5,068,914 *","$7,784 ",1.28%,-2.31%,56.08%,
opus,OPT,"$4,062,126 ",$0.03 ,"140,080,549 *","$3,455 ",64.55%,38.86%,19.31%,
real,REAL,"$4,020,698 ",$0.40 ,"10,055,817 *","$34,276 ",0.55%,7.54%,6.28%,
kolion,KLN,"$4,014,474 ",$6.69 ,"600,000","$1,305,480 ",3.44%,8.16%,34.69%,
indorse-token,IND,"$3,992,184 ",$0.09 ,"46,508,192 *","$347,334 ",0.83%,0.21%,-21.12%,
e-gulden,EFL,"$3,903,699 ",$0.24 ,"15,973,561","$70,727 ",-1.51%,5.12%,18.47%,
zclassic,ZCL,"$3,869,751 ",$2.14 ,"1,809,800","$262,624 ",1.20%,14.41%,-6.97%,
procurrency,PROC,"$3,864,347 ",$0.04 ,"96,039,169 *","$30,031 ",14.50%,13.58%,0.32%,
huntercoin,HUC,"$3,847,834 ",$0.19 ,"20,426,350","$27,486 ",3.74%,5.70%,14.29%,
aeron,ARN,"$3,831,653 ",$0.32 ,"11,803,431 *","$2,035,550 ",-0.78%,-1.16%,-9.64%,
goldblocks,GB,"$3,812,828 ",$0.25 ,"15,268,350","$32,397 ",2.81%,4.51%,26.68%,
publica,PBL,"$3,802,904 ",$0.20 ,"18,582,933 *","$191,806 ",2.20%,24.12%,43.98%,
zephyr,ZEPH,"$3,731,777 ",$0.03 ,"125,990,535 *","$46,831 ",-0.13%,7.08%,6.79%,
startcoin,START,"$3,706,920 ",$0.08 ,"45,079,785","$187,794 ",1.42%,0.69%,18.15%,
ixcoin,IXC,"$3,684,626 ",$0.18 ,"20,999,088 *",$639 ,1.65%,16.29%,16.24%,
cartaxi-token,CTX,"$3,676,820 ",$0.06 ,"60,594,811 *","$7,075 ",5.76%,-12.33%,89.38%,
darcrus,DAR,"$3,674,811 ",$0.27 ,"13,600,388 *","$2,501 ",-22.63%,-28.63%,-21.19%,
luxcoin,LUX,"$3,659,135 ",$6.30 ,"581,095","$527,588 ",1.83%,-3.11%,-8.06%,
internxt,INXT,"$3,615,105 ",$5.74 ,"629,610 *","$12,837 ",-8.80%,-9.75%,25.47%,
quark,QRK,"$3,570,764 ",$0.01 ,"253,286,965","$2,590 ",2.14%,27.15%,12.28%,
bulwark,BWK,"$3,556,511 ",$6.59 ,"539,730","$632,911 ",3.02%,9.88%,?,
tokes,TKS,"$3,466,288 ",$3.06 ,"1,133,007 *","$46,865 ",2.10%,-0.99%,-14.70%,
adshares,ADST,"$3,420,684 ",$0.28 ,"12,046,613 *",$740 ,-0.25%,21.34%,27.42%,
veriumreserve,VRM,"$3,420,494 ",$2.44 ,"1,404,328","$165,168 ",2.68%,16.18%,-6.45%,
gcoin,GCN,"$3,360,351 ",$0.00 ,"148,187,810,000","$24,376 ",1.14%,61.99%,220.67%,
spreadcoin,SPR,"$3,325,011 ",$0.36 ,"9,235,783","$149,847 ",-0.91%,0.75%,15.46%,
atlant,ATL,"$3,305,185 ",$0.25 ,"13,225,026 *","$10,893 ",0.20%,0.43%,15.21%,
social,SCL,"$3,302,573 ",$0.20 ,"16,714,020 *","$1,881 ",1.70%,11.08%,32.26%,
zeitcoin,ZEIT,"$3,289,032 ",$0.00 ,"36,971,159,265",$702 ,2.23%,230.77%,118.71%,
bitcoinz,BTCZ,"$3,262,587 ",$0.00 ,"665,312,594","$66,568 ",4.54%,32.05%,76.54%,
real-estate-tokens,REX,"$3,251,586 ",$0.38 ,"8,660,756 *","$17,614 ",36.63%,70.04%,141.81%,
autonio,NIO,"$3,248,908 ",$0.05 ,"65,828,135 *","$49,983 ",15.19%,0.90%,-33.27%,
vivo,VIVO,"$3,223,630 ",$3.88 ,"830,188","$40,933 ",2.08%,8.46%,38.52%,
hush,HUSH,"$3,214,669 ",$1.43 ,"2,242,500","$31,308 ",0.15%,-4.49%,-15.09%,
chips,CHIPS,"$3,213,586 ",$0.16 ,"19,893,684","$3,531 ",2.10%,1.74%,27.89%,
magi,XMG,"$3,197,358 ",$0.42 ,"7,646,695","$49,536 ",-1.94%,4.98%,12.58%,
hedge,HDG,"$3,163,981 ",$0.85 ,"3,709,674 *","$23,263 ",-1.69%,-0.47%,-8.28%,
zoin,ZOI,"$3,070,021 ",$0.19 ,"15,769,738","$8,153 ",8.05%,10.88%,39.21%,
zennies,ZENI,"$3,066,140 ",$0.00 ,"1,000,812,836 *","$12,912 ",-1.66%,-5.38%,77.69%,
buzzcoin,BUZZ,"$3,000,519 ",$0.00 ,"6,975,679,269","$9,968 ",1.36%,-4.76%,-25.91%,
