,MktCapBTC,MktCapUSD,Names,PricesBTC,PricesUSD,Rank,TotalSupply,Vol24BTC,Vol24USD,CirculatingSupply
applecoin-apw,16.0009703727,237403.197226,applecoin-apw,1e-08,0.000148368,710,1600097037.27,0.0029604,43.9229,97037.2736034
yacoin,15.62331329,231800.695697,yacoin,1.3e-07,0.00192879,711,120179333.0,0.00042119,6.24912,120179333.0
sooncoin,15.5449998046,230638.230768,sooncoin,1.24733e-06,0.0185064,712,12462620.0,0.00767375,113.854,12462620.0
caliphcoin,14.8587140024,220455.767911,caliphcoin,1e-07,0.00148368,713,148587140.024,0.00982776,145.813,87140.02423
antibitcoin,12.0509595649,178797.816593,antibitcoin,6.9e-07,0.0102374,714,17465158.7897,0.0012375,18.3606,17465158.7897
creatio,12.0393650433,178625.944242,creatio,5.86699e-07,0.00870475,715,20520514.0,0.0246187,365.264,20520514.0
bitcoin-planet,11.90724169,176665.464845,bitcoin-planet,1.88e-06,0.0278932,716,6333639.19682,0.0174902,259.5,5835039.19682
cryptoescudo,11.882102,176292.965059,cryptoescudo,2e-08,0.000296737,717,594105100.0,0.00105061,15.5877,144105100.0
firecoin,11.8133687879,175272.641994,firecoin,0.00012004,1.78101,718,98411.9359207,0.00223591,33.1738,98411.9359207
dollarcoin,11.6565940191,172946.517716,dollarcoin,1.28e-06,0.0189911,719,9106714.07746,0.00273094,40.5185,9106714.07746
guccionecoin,11.17450239,165794.189917,guccionecoin,4.7e-07,0.00697331,720,23775537.0,0.00101268,15.025,20285537.0
boostcoin,10.077164093,149513.105324,boostcoin,8.5e-07,0.0126113,723,11855487.1682,0.0283163,420.124,11855487.1682
quebecoin,10.0198238,148662.336466,quebecoin,2.8e-07,0.00415431,724,35785085.0,0.0119696,177.591,14998485.0
vector,9.37326711877,139069.490443,vector,5.6e-07,0.00830862,727,16737976.9978,0.0219183,325.199,16737976.9978
destiny,9.16800014153,136024.0021,destiny,5.73e-06,0.085015,728,1600000.0247,0.00013001,1.92894,1600000.0247
unrealcoin,10.46635898,132537.119376,unrealcoin,1.49e-06,0.0188681,730,7024402.0,0.0,0.0,7024402.0
californium,8.52110009375,126426.089606,californium,3.53e-06,0.052374,731,2413909.375,0.00205889,30.5474,2413909.375
bitquark,7.90110590475,117226.98278,bitquark,8.7e-07,0.012908,732,9081730.925,0.00056201,8.33845,9081730.925
beavercoin,7.38316146,109542.751631,beavercoin,2.37e-06,0.0351633,734,3115258.0,0.00895732,132.898,3115258.0
steps,6.89125629288,102244.452116,steps,3.7e-07,0.00548963,735,18625017.0078,0.00552843,82.0244,18625017.0078
flavorcoin,6.68739397408,99219.8194881,flavorcoin,3.2e-07,0.00474779,736,20898106.169,0.0151678,225.042,20898106.169
abncoin,6.43873913224,95530.5309443,abncoin,1.36e-06,0.0201781,737,4734367.009,0.0191099,283.53,67700.009
songcoin,6.0384858831,89592.350748,songcoin,1.85427e-07,0.00275116,738,32565300.0,0.0122671,182.005,32565300.0
jobscoin,6.000578991,89029.590393,jobscoin,3e-08,0.000445105,739,200019299.7,0.0322895,479.074,106019269.7
dreamcoin,5.86095128935,86957.8797993,dreamcoin,2.39e-06,0.03546,740,2452280.87421,0.00024486,3.63295,2452280.87421
vip-tokens,5.84152818413,86669.919164,vip-tokens,7e-08,0.00103858,741,83450402.6305,0.0170211,252.539,83450402.6305
mindcoin,5.7123702,84753.4845957,mindcoin,3.6e-07,0.00534126,742,15867695.0,0.00612686,90.9032,15867695.0
jewels,5.65085804279,83840.7716991,jewels,2.8e-07,0.00415431,743,20181635.8671,0.000196,2.90802,20181635.8671
pulse,5.4336091776,80617.4584401,pulse,3.8e-07,0.00563799,744,14298971.52,0.0038897,57.7108,14298971.52
billarycoin,5.75511024718,76232.4601049,billarycoin,6.4e-07,0.00847747,745,8992359.76121,0.0,0.0,8992359.76121
cashcoin,4.69062546463,69594.0183642,cashcoin,9.89834e-08,0.0014686,746,47388001.0651,0.016141,239.481,47388001.0651
morningstar-payments,4.56210687083,67687.2247615,morningstar-payments,1.39e-07,0.00206232,747,32820912.7398,0.00396584,58.8404,32820912.7398
speedcash,4.34472007367,64462.1014312,speedcash,9.11e-06,0.135164,749,476917.680974,0.0280623,416.356,261830.680974
uro,4.841314704,64073.5324315,uro,4.01e-06,0.0530713,750,1207310.4,0.0,0.0,1207310.4
ego,4.20000003931,62314.8005832,ego,7e-08,0.00103858,751,60000000.5615,0.0180238,267.416,60000000.5615
plncoin,4.199712,62310.36336,plncoin,2.2e-07,0.0032641,752,19089600.0,0.00053999,8.01174,17089600.0
cryptoworldx-token,4.174114,61930.733116,cryptoworldx-token,7e-08,0.00103858,753,59630200.0,0.00607589,90.1469,59630200.0
orlycoin,4.03114568202,59809.3755485,orlycoin,1.1e-07,0.00163205,754,36646778.9274,0.0012771,18.9481,36646778.9274
crypto,3.76641108827,55881.6135815,crypto,3e-07,0.00445105,756,12554703.6276,0.00854597,126.795,12554703.6276
bios-crypto,3.53969053261,52517.763781,bios-crypto,1.7e-07,0.00252226,758,20821709.0153,0.00050188,7.44631,20821709.0153
impulsecoin,3.84664690506,52024.2797501,impulsecoin,1.9e-07,0.00256967,759,20245510.0266,0.0,0.0,20245510.0266
osmiumcoin,3.46882088,51466.3053394,osmiumcoin,3.88e-06,0.0575669,760,894026.0,0.0109587,162.593,894026.0
nodecoin,3.35071025116,49713.9001525,nodecoin,5.7e-07,0.00845699,761,5878439.03712,0.00049875,7.39987,1678439.03712
high-voltage,3.2697494904,48512.7479962,high-voltage,1.93e-06,0.0286351,762,1694170.72042,0.0110621,164.126,1494170.72042
rsgpcoin,3.19355601047,47382.2448388,rsgpcoin,0.00148035,21.9637,763,2157.29794337,0.025205,373.963,1727.89794337
ponzicoin,3.15162234659,47012.0444429,ponzicoin,3.66e-06,0.0545954,764,861099.0018,0.0,0.0,861099.0018
bowscoin,3.16355837738,46937.160635,bowscoin,5.7e-07,0.00845699,765,5550102.41646,0.00594661,88.2288,5550102.41646
