 MktCapBTC , MktCapUSD ,Names,Platform,PricesBTC,PricesUSD,TotalSupply,Vol24BTC,Vol24USD,CirculatingSupply,
" 11,694.25 "," 11,694.25 ",cofound-it,ETH, 0.00 , 0.35 ," 500,000,000.00 ", 668.01 ," 9,911,210.00 "," 325,000,000.00 ",
" 30,944.63 "," 30,944.63 ",quantstamp,ETH, 0.00 , 0.47 ," 976,442,388.32 "," 3,157.03 "," 46,840,300.00 "," 617,314,170.82 ",
" 4,920.40 "," 4,920.40 ",snovio,ETH, 0.00 , 0.11 ," 651,129,644.00 ", 285.56 ," 4,236,820.00 "," 405,002,639.00 ",
 385.93 , 385.93 ,dai,ETH, 0.00 , 1.00 ," 5,701,123.21 ", 35.14 ," 521,402.00 "," 3,444,952.55 ",
" 19,294.40 "," 19,294.40 ",adx-net,ETH, 0.00 , 2.86 ," 100,000,000.00 "," 1,902.76 "," 28,231,000.00 "," 60,248,315.00 ",
 542.21 , 542.21 ,kolion,WAVES, 0.00 , 8.04 ," 1,000,000.00 ", 104.64 ," 1,552,550.00 "," 600,000.00 ",
" 1,549.55 "," 1,549.55 ",aeron,ETH, 0.00 , 1.15 ," 20,000,000.00 ", 279.46 ," 4,146,310.00 "," 12,000,000.00 ",
" 8,856.40 "," 8,856.40 ",nuls,ETH, 0.00 , 3.29 ," 40,000,000.00 ", 977.96 ," 14,509,800.00 "," 23,564,882.30 ",
" 11,649.60 "," 11,649.60 ",coindash,ETH, 0.00 , 0.17 ," 1,000,000,000.00 ", 898.48 ," 13,330,600.00 "," 560,650,080.17 ",
" 8,252.38 "," 8,252.38 ",monetha,ETH, 0.00 , 0.30 ," 402,400,000.00 ", 423.09 ," 6,277,340.00 "," 216,964,020.30 ",
 10.00 , 10.00 ,exchangen,ETH, 0.00 , 0.01 ," 10,000,000.00 ", 1.15 ," 17,083.70 "," 5,100,000.00 ",
" 259,540.47 "," 259,540.47 ",status,ETH, 0.00 , 0.57 ," 6,804,870,174.00 "," 32,951.70 "," 488,898,000.00 "," 3,470,483,788.00 ",
" 63,634.65 "," 63,634.65 ",enigma-project,ETH, 0.00 , 6.29 ," 150,000,000.00 "," 8,329.51 "," 123,583,000.00 "," 74,836,171.09 ",
" 118,943.68 "," 118,943.68 ",binance-coin,ETH, 0.00 , 8.87 ," 199,013,968.00 "," 6,935.81 "," 102,905,000.00 "," 99,014,000.00 ",
" 29,353.72 "," 29,353.72 ",ripio-credit-network,ETH, 0.00 , 0.44 ," 999,942,647.35 "," 2,809.91 "," 41,690,200.00 "," 489,033,008.75 ",
" 17,666.20 "," 17,666.20 ",etherparty,ETH, 0.00 , 0.26 ," 1,000,000,000.00 "," 1,032.99 "," 15,326,300.00 "," 485,146,252.55 ",
" 31,010.30 "," 31,010.30 ",cybermiles,ETH, 0.00 , 0.46 ," 1,000,000,000.00 "," 3,921.18 "," 58,177,800.00 "," 425,796,120.62 ",
" 35,250.91 "," 35,250.91 ",monaco,ETH, 0.00 , 16.56 ," 31,587,682.36 "," 2,309.71 "," 34,268,800.00 "," 13,085,542.22 ",
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
