,CirculatingSupply,MktCapBTC,MktCapUSD,Names,Platform,PricesBTC,PricesUSD,Rank,TotalSupply,Vol24BTC,Vol24USD,VolRatio,SupplyRatio
coimatic-2," 13,532,750.00 ", 2.72 ," 40,551.15 ",coimatic-2,, 0.00000009 , 0.00 , 645.00 ," 30,132,750.00 ", 0.08 ," 1,146.17 ",2.83%,44.91%
elysium," 4,005,012.08 ", 2.44 ," 36,362.11 ",elysium,, 0.00000061 , 0.01 , 646.00 ," 4,005,012.08 ", 0.32 ," 4,761.28 ",13.09%,100.00%
xonecoin," 420,000.00 ", 2.26 ," 33,694.08 ",xonecoin,, 0.00000539 , 0.08 , 647.00 ," 420,000.00 ", 0.10 ," 1,449.31 ",4.30%,100.00%
rawcoin2," 704,882.00 ", 1.08 ," 16,143.77 ",rawcoin2,, 0.00000154 , 0.02 , 651.00 ," 704,882.00 ", 0.08 ," 1,231.88 ",7.63%,100.00%
everex," 16,500,000.00 "," 6,209.78 "," 92,782,500.00 ",everex,ETH, 0.00024839 , 3.71 , 178.00 ," 25,000,000.00 "," 1,588.61 "," 23,736,000.00 ",25.58%,66.00%
trust," 92,147,500.00 "," 6,166.30 "," 92,133,000.00 ",trust,ETH, 0.00006166 , 0.92 , 179.00 ," 100,000,000.00 ", 184.36 ," 2,754,550.00 ",2.99%,92.15%
numeraire," 1,296,590.55 "," 5,753.81 "," 85,969,881.80 ",numeraire,ETH, 0.00250537 , 37.43 , 184.00 ," 2,296,590.55 ", 135.77 ," 2,028,540.00 ",2.36%,56.46%
blockmason," 45,166,200.00 "," 5,483.28 "," 81,927,753.26 ",blockmason,ETH, 0.00004721 , 0.71 , 190.00 ," 116,158,667.00 ", 295.42 ," 4,413,910.00 ",5.39%,38.88%
bitcny," 548,920,000.00 "," 5,175.59 "," 77,330,202.84 ",bitcny,BTS, 0.00000943 , 0.14 , 193.00 ," 548,920,000.00 "," 3,909.64 "," 58,415,400.00 ",75.54%,100.00%
lunyr," 2,297,853.08 "," 4,937.30 "," 73,770,262.01 ",lunyr,ETH, 0.00182636 , 27.29 , 195.00 ," 2,703,356.08 ", 197.81 ," 2,955,480.00 ",4.01%,85.00%
worldcore," 175,109,299.00 "," 4,866.10 "," 72,706,273.62 ",worldcore,ETH, 0.00001984 , 0.30 , 197.00 ," 245,209,299.00 ", 98.84 ," 1,476,750.00 ",2.03%,71.41%
patientory," 70,000,000.00 "," 4,821.78 "," 72,043,940.85 ",patientory,ETH, 0.00004822 , 0.72 , 198.00 ," 100,002,000.00 ", 489.26 ," 7,310,170.00 ",10.15%,70.00%
moeda-loyalty-points," 19,628,888.00 "," 4,787.53 "," 71,532,378.81 ",moeda-loyalty-points,ETH, 0.00024390 , 3.64 , 200.00 ," 19,628,888.00 ", 530.94 ," 7,933,000.00 ",11.09%,100.00%
genesis-vision," 3,726,780.90 "," 4,673.61 "," 69,830,113.45 ",genesis-vision,ETH, 0.00105341 , 15.74 , 203.00 ," 4,436,643.93 ", 272.50 ," 4,071,550.00 ",5.83%,84.00%
foldingcoin," 550,358,603.00 "," 4,609.23 "," 68,868,200.00 ",foldingcoin,XCP, 0.00000461 , 0.07 , 205.00 ," 1,000,000,000.00 ", 220.90 ," 3,300,520.00 ",4.79%,55.04%
publica," 18,582,932.50 "," 4,466.83 "," 66,740,433.14 ",publica,ETH, 0.00013221 , 1.98 , 208.00 ," 33,787,150.00 ", 111.04 ," 1,659,020.00 ",2.49%,55.00%
mysterium," 19,429,024.22 "," 4,392.03 "," 65,623,077.33 ",mysterium,ETH, 0.00013542 , 2.02 , 210.00 ," 32,433,365.62 ", 129.65 ," 1,937,110.00 ",2.95%,59.90%
blackmoon-crypto," 20,882,537.84 "," 4,082.81 "," 61,002,600.00 ",blackmoon-crypto,ETH, 0.00006805 , 1.02 , 216.00 ," 60,000,000.00 ", 123.16 ," 1,840,230.00 ",3.02%,34.80%
stox," 42,588,465.10 "," 4,038.34 "," 60,338,281.43 ",stox,ETH, 0.00006912 , 1.03 , 218.00 ," 58,428,261.56 ", 137.38 ," 2,052,570.00 ",3.40%,72.89%
nexium," 66,521,586.00 "," 3,803.23 "," 56,825,399.62 ",nexium,ETH, 0.00005717 , 0.85 , 224.00 ," 66,521,586.00 ", 302.00 ," 4,512,250.00 ",7.94%,100.00%
kickico," 321,137,782.25 "," 3,424.66 "," 51,168,967.57 ",kickico,ETH, 0.00000748 , 0.11 , 233.00 ," 457,760,867.84 ", 264.13 ," 3,946,520.00 ",7.71%,70.15%
aventus," 6,000,000.00 "," 3,275.27 "," 48,937,100.00 ",aventus,ETH, 0.00032753 , 4.89 , 236.00 ," 10,000,000.00 ", 184.61 ," 2,758,300.00 ",5.64%,60.00%
investfeed," 191,381,257.00 "," 2,653.96 "," 39,653,813.69 ",investfeed,ETH, 0.00001387 , 0.21 , 247.00 ," 191,381,257.00 ", 66.39 ," 992,008.00 ",2.50%,100.00%
swarm-city," 8,015,698.76 "," 2,535.05 "," 37,877,222.62 ",swarm-city,ETH, 0.00031626 , 4.73 , 250.00 ," 8,015,698.76 ", 94.74 ," 1,415,480.00 ",3.74%,100.00%
databits," 22,747,808.50 "," 2,448.80 "," 36,588,485.10 ",databits,XCP, 0.00010765 , 1.61 , 252.00 ," 22,747,808.50 ", 71.48 ," 1,068,030.00 ",2.92%,100.00%
clearpoll," 6,999,991.00 "," 2,157.04 "," 32,229,060.99 ",clearpoll,ETH, 0.00023967 , 3.58 , 256.00 ," 8,999,991.90 ", 45.37 ," 677,826.00 ",2.10%,77.78%
aeron," 12,000,000.00 "," 2,126.58 "," 31,774,200.00 ",aeron,ETH, 0.00010633 , 1.59 , 257.00 ," 20,000,000.00 ", 373.73 ," 5,583,980.00 ",17.57%,60.00%
elixir," 30,075,281.43 "," 2,017.19 "," 30,139,642.53 ",elixir,ETH, 0.00006707 , 1.00 , 260.00 ," 30,075,281.43 ", 86.62 ," 1,294,150.00 ",4.29%,100.00%
voisecom," 643,012,000.00 "," 1,989.86 "," 29,731,292.84 ",voisecom,ETH, 0.00000241 , 0.04 , 264.00 ," 825,578,000.00 ", 90.40 ," 1,350,770.00 ",4.54%,77.89%
suncontract," 109,212,011.15 "," 1,904.48 "," 28,455,624.46 ",suncontract,ETH, 0.00001552 , 0.23 , 268.00 ," 122,707,502.69 ", 63.46 ," 948,149.00 ",3.33%,89.00%
bitusd," 28,644,000.00 "," 1,857.83 "," 27,758,528.03 ",bitusd,BTS, 0.00006486 , 0.97 , 270.00 ," 28,644,000.00 ", 321.19 ," 4,799,080.00 ",17.29%,100.00%
bitcrystals," 23,192,530.61 "," 1,555.47 "," 23,240,771.08 ",bitcrystals,XCP, 0.00006707 , 1.00 , 278.00 ," 23,192,530.61 ", 52.18 ," 779,712.00 ",3.35%,100.00%
chronobank," 710,112.81 "," 1,543.43 "," 23,060,984.54 ",chronobank,ETH, 0.00217350 , 32.48 , 279.00 ," 710,112.81 ", 40.80 ," 609,642.00 ",2.64%,100.00%
eroscoin," 114,744,000.00 "," 1,508.39 "," 22,537,464.00 ",eroscoin,ETH, 0.00000628 , 0.09 , 282.00 ," 240,000,000.00 ", 33.79 ," 504,911.00 ",2.24%,47.81%
mywish," 17,873,502.44 "," 1,353.29 "," 20,219,974.96 ",mywish,ETH, 0.00006833 , 1.02 , 290.00 ," 19,803,895.12 ", 31.35 ," 468,359.00 ",2.32%,90.25%
trueflip," 6,247,267.00 "," 1,308.24 "," 19,546,984.16 ",trueflip,ETH, 0.00014659 , 2.19 , 291.00 ," 8,924,667.00 ", 175.71 ," 2,625,360.00 ",13.43%,70.00%
qvolta," 6,731,528.00 "," 1,308.17 "," 19,545,941.22 ",qvolta,ETH, 0.00012956 , 1.94 , 292.00 ," 10,096,722.00 ", 63.62 ," 950,522.00 ",4.86%,66.67%
sportyfi," 49,573,003.50 "," 1,037.74 "," 15,505,331.76 ",sportyfi,ETH, 0.00001468 , 0.22 , 305.00 ," 70,673,453.99 ", 28.30 ," 422,894.00 ",2.73%,70.14%
creditbit," 16,511,828.17 ", 914.51 ," 13,663,967.11 ",creditbit,ETH, 0.00005538 , 0.83 , 311.00 ," 16,511,828.17 ", 43.07 ," 643,522.00 ",4.71%,100.00%
primalbase," 1,000.00 ", 598.24 ," 8,938,462.50 ",primalbase,WAVES, 0.47858800 ," 7,150.77 ", 329.00 ," 1,250.00 ", 78.11 ," 1,167,030.00 ",13.06%,80.00%
kolion," 600,000.00 ", 531.80 ," 7,945,850.00 ",kolion,WAVES, 0.00053180 , 7.95 , 335.00 ," 1,000,000.00 ", 83.31 ," 1,244,720.00 ",15.67%,60.00%
darcrus," 13,600,388.07 ", 434.27 ," 6,488,622.74 ",darcrus,WAVES, 0.00003193 , 0.48 , 340.00 ," 13,600,388.07 ", 15.62 ," 233,447.00 ",3.60%,100.00%
authorship," 80,000,000.00 ", 431.98 ," 6,454,440.00 ",authorship,ETH, 0.00000432 , 0.06 , 341.00 ," 100,000,000.00 ", 9.03 ," 134,848.00 ",2.09%,80.00%
cryptoping," 9,952,089.00 ", 394.57 ," 5,895,428.43 ",cryptoping,WAVES, 0.00003965 , 0.59 , 346.00 ," 9,952,089.00 ", 9.33 ," 139,457.00 ",2.37%,100.00%
dai," 3,444,952.55 ", 384.48 ," 5,744,622.78 ",dai,ETH, 0.00006744 , 1.01 , 347.00 ," 5,701,123.21 ", 42.74 ," 638,609.00 ",11.12%,60.43%
crystal-clear," 4,523,098.87 ", 230.54 ," 3,444,581.37 ",crystal-clear,ETH, 0.00003330 , 0.50 , 363.00 ," 6,924,060.00 ", 9.76 ," 145,893.00 ",4.24%,65.32%
senderon," 40,592,900.00 ", 147.09 ," 2,197,776.79 ",senderon,ETH, 0.00000322 , 0.05 , 377.00 ," 45,625,900.00 ", 8.39 ," 125,375.00 ",5.70%,88.97%
bitcoin-red," 18,684,926.50 ", 137.00 ," 2,047,002.30 ",bitcoin-red,ETH, 0.00000652 , 0.10 , 378.00 ," 21,000,000.00 ", 20.34 ," 303,966.00 ",14.85%,88.98%
zcash-gold," 2,007,615.00 ", 98.62 ," 1,473,570.00 ",zcash-gold,ETH, 0.00003945 , 0.59 , 387.00 ," 2,500,000.00 ", 3.42 ," 51,083.70 ",3.47%,80.30%
billionaire-token," 3,268,314.64 ", 90.76 ," 1,356,150.97 ",billionaire-token,ETH, 0.00002738 , 0.41 , 389.00 ," 3,315,310.50 ", 4.80 ," 71,717.80 ",5.29%,98.58%
ethereumcash," 14,100,000.00 ", 52.65 ," 786,726.00 ",ethereumcash,ETH, 0.00000351 , 0.05 , 406.00 ," 15,000,000.00 ", 1.18 ," 17,669.20 ",2.25%,94.00%
bitbtc, 51.47 , 51.53 ," 769,906.52 ",bitbtc,BTS, 1.00115000 ," 14,958.50 ", 407.00 , 51.47 , 3.35 ," 50,000.40 ",6.49%,100.00%
dix-asset," 100,000,000,000.00 ", 24.02 ," 358,821.00 ",dix-asset,NXT, 0.00000000 , 0.00 , 418.00 ," 100,000,000,000.00 ", 1.63 ," 24,374.60 ",6.79%,100.00%
exchangen," 5,100,000.00 ", 19.96 ," 298,183.00 ",exchangen,ETH, 0.00000200 , 0.03 , 419.00 ," 10,000,000.00 ", 0.46 ," 6,930.03 ",2.32%,51.00%
