,CirculatingSupply,MktCapBTC,MktCapUSD,Names,Platform,PricesBTC,PricesUSD,Rank,TotalSupply,Vol24BTC,Vol24USD,VolRatio,SupplyRatio
linx," 14,490,250.00 ", 498.25 ," 7,415,833.27 ",linx,, 0.00003217 , 0.48 , 302.00 ," 15,490,250.00 ", 20.06 ," 298,504.00 ",4.03%,93.54%
parkbyte," 4,764,026.33 ", 445.50 ," 6,630,810.05 ",parkbyte,, 0.00009351 , 1.39 , 308.00 ," 4,764,026.33 ", 18.11 ," 269,537.00 ",4.06%,100.00%
fluttercoin," 322,214,524.20 ", 445.19 ," 6,626,083.92 ",fluttercoin,, 0.00000138 , 0.02 , 309.00 ," 322,214,524.20 ", 16.06 ," 238,982.00 ",3.61%,100.00%
bunnycoin," 102,401,809,187.00 ", 391.97 ," 5,834,056.35 ",bunnycoin,, 0.00000000 , 0.00 , 319.00 ," 102,401,809,187.00 ", 25.83 ," 384,490.00 ",6.59%,100.00%
unbreakablecoin," 2,278,150.00 ", 375.30 ," 5,585,955.46 ",unbreakablecoin,, 0.00016474 , 2.45 , 323.00 ," 2,278,150.00 ", 253.07 ," 3,766,630.00 ",67.43%,100.00%
noblecoin," 2,319,136,367.02 ", 330.44 ," 4,918,285.26 ",noblecoin,, 0.00000014 , 0.00 , 324.00 ," 2,319,136,367.02 ", 7.34 ," 109,228.00 ",2.22%,100.00%
xgox," 951,806,311.17 ", 328.10 ," 4,883,413.52 ",xgox,, 0.00000027 , 0.00 , 325.00 ," 1,205,221,655.97 ", 7.07 ," 105,245.00 ",2.16%,78.97%
signatum," 107,972,765.66 ", 327.41 ," 4,873,167.22 ",signatum,, 0.00000303 , 0.05 , 327.00 ," 107,972,765.66 ", 8.83 ," 131,423.00 ",2.70%,100.00%
bytecent," 1,937,049.33 ", 269.25 ," 4,007,483.88 ",bytecent,, 0.00013900 , 2.07 , 335.00 ," 1,937,049.33 ", 5.41 ," 80,458.40 ",2.01%,100.00%
ellaism," 3,566,780.00 ", 263.12 ," 3,916,253.10 ",ellaism,, 0.00007377 , 1.10 , 338.00 ," 3,566,780.00 ", 8.44 ," 125,694.00 ",3.21%,100.00%
photon," 20,884,803,446.80 ", 250.16 ," 3,723,300.99 ",photon,, 0.00000001 , 0.00 , 341.00 ," 20,884,803,446.80 ", 6.95 ," 103,371.00 ",2.78%,100.00%
cryptonite," 380,306,369.80 ", 247.00 ," 3,676,376.04 ",cryptonite,, 0.00000065 , 0.01 , 343.00 ," 380,306,369.80 ", 5.17 ," 76,954.80 ",2.09%,100.00%
netcoin," 787,126,711.55 ", 245.76 ," 3,657,888.03 ",netcoin,, 0.00000031 , 0.00 , 344.00 ," 787,126,711.55 ", 12.38 ," 184,228.00 ",5.04%,100.00%
campuscoin," 318,386,546.09 ", 226.58 ," 3,372,322.20 ",campuscoin,, 0.00000044 , 0.01 , 350.00 ," 518,386,546.09 ", 11.87 ," 176,643.00 ",5.24%,61.42%
influxcoin," 1,673,383.43 ", 225.57 ," 3,357,325.91 ",influxcoin,, 0.00013480 , 2.01 , 351.00 ," 1,673,383.43 ", 19.74 ," 293,772.00 ",8.75%,100.00%
xios," 2,149,688.37 ", 213.77 ," 3,181,796.75 ",xios,, 0.00009944 , 1.48 , 352.00 ," 2,149,688.37 ", 26.40 ," 392,906.00 ",12.35%,100.00%
inflationcoin," 35,434,703,700.60 ", 211.39 ," 3,146,272.15 ",inflationcoin,, 0.00000001 , 0.00 , 354.00 ," 35,434,703,700.60 ", 4.29 ," 63,920.00 ",2.03%,100.00%
moin," 7,345,436.42 ", 207.60 ," 3,089,850.49 ",moin,, 0.00002826 , 0.42 , 357.00 ," 7,345,436.42 ", 6.16 ," 91,733.20 ",2.97%,100.00%
petrodollar," 63,993,274.89 ", 195.13 ," 2,904,360.38 ",petrodollar,, 0.00000305 , 0.05 , 362.00 ," 63,993,274.89 ", 9.72 ," 144,703.00 ",4.98%,100.00%
zetacoin," 167,370,228.76 ", 180.36 ," 2,684,434.36 ",zetacoin,, 0.00000108 , 0.02 , 367.00 ," 167,370,228.76 ", 4.96 ," 73,825.20 ",2.75%,100.00%
monkey-project," 105,797.14 ", 166.95 ," 2,484,834.69 ",monkey-project,, 0.00033007 , 4.91 , 374.00 ," 505,797.14 ", 4.35 ," 64,751.30 ",2.61%,20.92%
fuelcoin," 101,653,631.21 ", 150.45 ," 2,239,236.35 ",fuelcoin,, 0.00000148 , 0.02 , 385.00 ," 101,653,631.21 ", 3.39 ," 50,461.90 ",2.25%,100.00%
zero," 446,302.59 ", 139.65 ," 2,078,556.14 ",zero,, 0.00031291 , 4.66 , 391.00 ," 446,302.59 ", 31.07 ," 462,402.00 ",22.25%,100.00%
pioneer-coin," 1,495,035.05 ", 121.94 ," 1,814,903.11 ",pioneer-coin,, 0.00005101 , 0.76 , 403.00 ," 2,390,468.05 ", 3.45 ," 51,325.00 ",2.83%,62.54%
amsterdamcoin," 33,476,210.32 ", 106.34 ," 1,582,764.59 ",amsterdamcoin,, 0.00000164 , 0.02 , 414.00 ," 64,743,751.41 ", 2.29 ," 34,098.20 ",2.15%,51.71%
lottocoin," 14,491,014,421.20 ", 95.64 ," 1,423,478.43 ",lottocoin,, 0.00000001 , 0.00 , 423.00 ," 14,491,014,421.20 ", 4.77 ," 70,980.50 ",4.99%,100.00%
atomic-coin," 13,565,772.78 ", 94.93 ," 1,412,875.23 ",atomic-coin,, 0.00000700 , 0.10 , 425.00 ," 13,565,772.78 ", 3.58 ," 53,332.90 ",3.77%,100.00%
redcoin," 74,107,896.00 ", 91.85 ," 1,367,031.30 ",redcoin,, 0.00000124 , 0.02 , 428.00 ," 74,107,896.00 ", 6.97 ," 103,745.00 ",7.59%,100.00%
ethereum-dark," 1,500,000.00 ", 89.97 ," 1,339,064.19 ",ethereum-dark,, 0.00002979 , 0.44 , 430.00 ," 3,019,862.00 ", 13.20 ," 196,492.00 ",14.67%,49.67%
coinonatx," 17,498,928.65 ", 88.76 ," 1,321,032.62 ",coinonatx,, 0.00000507 , 0.08 , 432.00 ," 17,498,928.65 ", 2.21 ," 32,896.00 ",2.49%,100.00%
securecoin," 8,335,290.95 ", 85.14 ," 1,267,189.28 ",securecoin,, 0.00001021 , 0.15 , 439.00 ," 8,335,290.95 ", 12.05 ," 179,316.00 ",14.15%,100.00%
sooncoin," 12,462,620.00 ", 82.03 ," 1,220,855.70 ",sooncoin,, 0.00000658 , 0.10 , 444.00 ," 12,462,620.00 ", 3.36 ," 50,014.70 ",4.10%,100.00%
rimbit," 115,499,623.42 ", 78.29 ," 1,165,233.82 ",rimbit,, 0.00000020 , 0.00 , 447.00 ," 393,459,356.42 ", 3.45 ," 51,401.00 ",4.41%,29.35%
808coin," 3,978,187,849.10 ", 75.74 ," 1,127,366.72 ",808coin,, 0.00000002 , 0.00 , 454.00 ," 3,978,187,849.10 ", 1.86 ," 27,745.70 ",2.46%,100.00%
gapcoin," 12,234,443.74 ", 74.56 ," 1,109,690.96 ",gapcoin,, 0.00000609 , 0.09 , 455.00 ," 12,234,443.74 ", 2.12 ," 31,624.60 ",2.85%,100.00%
digicube," 2,429,126,009.17 ", 72.87 ," 1,084,643.63 ",digicube,, 0.00000003 , 0.00 , 458.00 ," 2,429,126,009.17 ", 2.98 ," 44,328.20 ",4.09%,100.00%
eryllium," 5,548,997.83 ", 62.94 ," 936,722.94 ",eryllium,, 0.00000405 , 0.06 , 472.00 ," 15,548,997.83 ", 2.24 ," 33,278.70 ",3.55%,35.69%
hempcoin-hmp," 1,356,645,469.99 ", 57.13 ," 850,357.65 ",hempcoin-hmp,, 0.00000002 , 0.00 , 479.00 ," 2,856,645,469.99 ", 3.98 ," 59,179.00 ",6.96%,47.49%
interzone," 2,396,120.25 ", 57.13 ," 850,244.15 ",interzone,, 0.00002000 , 0.30 , 480.00 ," 2,856,120.25 ", 1.19 ," 17,774.40 ",2.09%,83.89%
blakestar," 288,292,166.89 ", 56.46 ," 840,314.01 ",blakestar,, 0.00000020 , 0.00 , 481.00 ," 288,292,166.89 ", 1.68 ," 24,990.40 ",2.97%,100.00%
litecoin-plus," 854,687.77 ", 54.07 ," 804,801.35 ",litecoin-plus,, 0.00006327 , 0.94 , 484.00 ," 854,687.77 ", 1.84 ," 27,417.80 ",3.41%,100.00%
cryptojacks," 406,568,580.91 ", 48.51 ," 722,004.81 ",cryptojacks,, 0.00000012 , 0.00 , 492.00 ," 406,568,580.91 ", 1.39 ," 20,631.60 ",2.86%,100.00%
cannation," 2,476,892.72 ", 46.43 ," 690,991.15 ",cannation,, 0.00001874 , 0.28 , 498.00 ," 2,476,892.72 ", 1.74 ," 25,827.50 ",3.74%,100.00%
mutual-coin," 2,160,286,328.70 ", 40.04 ," 595,926.84 ",mutual-coin,, 0.00000002 , 0.00 , 510.00 ," 2,224,362,908.32 ", 6.73 ," 100,101.00 ",16.80%,97.12%
votecoin," 16,474,625.00 ", 39.04 ," 581,137.45 ",votecoin,, 0.00000237 , 0.04 , 513.00 ," 16,474,625.00 ", 0.89 ," 13,291.00 ",2.29%,100.00%
