,bitcoin,Log Returns,AVG,Squared,RMS 52,P = (((avg / rms) – (1 / sqrt (n))) + 1) / 2
4/6/2015,255.49,0.013746064,-0.004716894,2.22491E-05,,
4/13/2015,224.59,-0.055983491,-0.005965837,3.55912E-05,,
4/20/2015,224.63,7.7342E-05,-0.006611779,4.37156E-05,0.01028489,0.10923081
4/27/2015,229.29,0.008917357,-0.00544911,2.96928E-05,0.010231601,0.164374262
5/4/2015,239.02,0.018049128,-0.004971824,2.4719E-05,0.010134787,0.185377412
5/11/2015,242.16,0.005668166,-0.005015172,2.5152E-05,0.010043,0.180977511
5/18/2015,233.13,-0.016504244,-0.005421383,2.93914E-05,0.009958493,0.158463498
5/25/2015,237.11,0.007351707,-0.007519835,5.65479E-05,0.009860406,0.049347788
6/1/2015,222.93,-0.026781354,-0.009072754,8.23149E-05,0.009746353,-0.034781066
6/8/2015,228.49,0.010698682,-0.008720857,7.60533E-05,0.009595026,-0.023784286
6/15/2015,236.82,0.015551179,-0.007654667,5.85939E-05,0.009435449,0.025029043
6/22/2015,246.99,0.018260993,-0.007328701,5.37099E-05,0.009269882,0.035366117
6/29/2015,257.06,0.017355133,-0.007615572,5.79969E-05,0.009042672,0.009571702
7/6/2015,269.03,0.019766208,-0.007027818,4.93902E-05,0.008764202,0.029723668
7/13/2015,292.05,0.035656499,-0.006278036,3.94137E-05,0.008545748,0.063343189
7/20/2015,278.98,-0.019884141,-0.006699306,4.48807E-05,0.008304812,0.02732365
7/27/2015,293.62,0.022212564,-0.005766965,3.32579E-05,0.008091642,0.074309277
8/3/2015,281.23,-0.018723987,-0.006170989,3.80811E-05,0.007891321,0.039664019
8/10/2015,264.47,-0.026685232,-0.006506249,4.23313E-05,0.007698578,0.008100735
8/17/2015,257.98,-0.010790377,-0.004856693,2.35875E-05,0.007566893,0.109745256
8/24/2015,210.5,-0.088333938,-0.007266999,5.28093E-05,0.00745146,-0.056960066
8/31/2015,230.06,0.038589015,-0.006052745,3.66357E-05,0.007357158,0.019311694
9/7/2015,239.85,0.018098607,-0.005699769,3.24874E-05,0.00724047,0.037057537
9/14/2015,230.64,-0.017005093,-0.00604033,3.64856E-05,0.007135584,0.007408417
9/21/2015,227.09,-0.006736619,-0.004772886,2.27804E-05,0.007038944,0.09162823
9/28/2015,239.14,0.022454215,-0.00376775,1.41959E-05,0.006955208,0.15980426
10/5/2015,240.38,0.002246106,-0.002648478,7.01444E-06,0.006876396,0.238084974
10/12/2015,245.31,0.008816922,-0.003880878,1.50612E-05,0.006795131,0.145099312
10/19/2015,263.44,0.030966465,-0.003122056,9.74724E-06,0.006754389,0.199549308
10/26/2015,285.3,0.034620054,-0.001778089,3.1616E-06,0.006725954,0.298481291
11/2/2015,361.19,0.102433946,0.000816502,6.66676E-07,0.006714153,0.491467032
11/9/2015,380.26,0.022344926,0.000298255,8.8956E-08,0.006713804,0.452874546
11/16/2015,330.75,-0.060580791,-0.001320596,1.74397E-06,0.006680655,0.331825182
11/23/2015,323.05,-0.010230107,-0.001287623,1.65797E-06,0.006626118,0.333499777
11/30/2015,377.32,0.06744008,-4.26108E-05,1.81568E-09,0.006521637,0.427395593
12/7/2015,395.54,0.020480583,0.000742112,5.5073E-07,0.006437978,0.488297963
12/14/2015,444.18,0.050368591,0.002101914,4.41804E-06,0.006391146,0.595102025
12/21/2015,438.64,-0.005450767,0.002329117,5.42478E-06,0.006346615,0.614155301
12/28/2015,422.28,-0.01650772,0.00250989,6.29955E-06,0.006273327,0.630707059
1/4/2016,433.09,0.010977643,0.003809294,1.45107E-05,0.00612815,0.741465367
1/11/2016,448.43,0.015116503,0.004305463,1.8537E-05,0.006012766,0.788689286
1/18/2016,387.17,-0.063792961,0.004918195,2.41886E-05,0.005830448,0.852430639
1/25/2016,391.73,0.005085134,0.003001483,9.0089E-06,0.005720565,0.693003993
2/1/2016,373.06,-0.021208147,0.003745812,1.40311E-05,0.005561451,0.767428214
2/8/2016,373.45,0.000453778,0.004415244,1.94944E-05,0.005439979,0.836476909
2/15/2016,400.19,0.030033768,0.004487451,2.01372E-05,0.005355258,0.849638642
2/22/2016,437.75,0.038959923,0.005058234,2.55857E-05,0.00531535,0.906476319
2/29/2016,437.7,-4.96081E-05,0.003861289,1.49096E-05,0.005243063,0.798890895
3/7/2016,414.32,-0.023840649,0.002990814,8.94497E-06,0.005182548,0.71920917
3/14/2016,416.44,0.00221654,0.003005226,9.03139E-06,0.005123903,0.723918055
3/21/2016,413.31,-0.003276525,0.003657457,1.3377E-05,0.005068535,0.791462724
3/28/2016,424.23,0.011325464,0.004499491,2.02454E-05,0.00505718,0.875524129
4/4/2016,421.44,-0.002865624,0.004180036,1.74727E-05,0.00504809,0.844683929
4/11/2016,422.48,0.001070401,0.005277226,2.78491E-05,0.005033322,0.954891374
4/18/2016,428.59,0.006235879,0.005395659,2.91131E-05,0.005005349,0.96965183
4/25/2016,461.43,0.032063793,0.005840783,3.41147E-05,0.005013836,1.013128966
5/2/2016,444.67,-0.016067996,0.005184684,2.6881E-05,0.00501798,0.947273144
5/9/2016,460.48,0.015172942,0.005367469,2.88097E-05,0.005024984,0.964740601
5/16/2016,454.16,-0.006001891,0.005569437,3.10186E-05,0.005028097,0.984493939
5/23/2016,444.15,-0.009679215,0.005241919,2.74777E-05,0.004972195,0.957785766
5/30/2016,533.86,0.079897716,0.00729344,5.31943E-05,0.004915558,1.172535542
6/6/2016,585.54,0.040129186,0.007859411,6.17703E-05,0.004887539,1.234687925
