,index
2013-04-28,0.0
2013-04-29,0.07368524815455262
2013-04-30,-0.03738828210208926
2013-05-01,-0.1564224525321981
2013-05-02,-0.10126217288627139
2013-05-03,-0.07214077099201738
2013-05-04,0.15061364150881773
2013-05-05,0.030370447245764397
2013-05-06,-0.03252240870747349
2013-05-07,-0.007340702312480125
2013-05-08,0.01881455633573727
2013-05-09,-0.007428340447784195
2013-05-10,0.038635390241517
2013-05-11,-0.0171550223062996
2013-05-12,-0.0030790079651788023
2013-05-13,0.024868331838938718
2013-05-14,-0.058824556589827395
2013-05-15,0.02522465700609973
2013-05-16,0.03762000301911268
2013-05-17,0.038457655675976615
2013-05-18,0.005156383294077928
2013-05-19,-0.011528892824310667
2013-05-20,-0.0015839746156736854
2013-05-21,0.005589704835126556
2013-05-22,0.008287479432907207
2013-05-23,0.022523680231714627
2013-05-24,0.04895723351465632
2013-05-25,-0.009602952072432025
2013-05-26,0.01275044756899147
2013-05-27,-0.028776631279173202
2013-05-28,-0.005663577399630157
2013-05-29,0.024559986490954713
2013-05-30,-0.027162646531751412
2013-05-31,0.0013279083867942288
2013-06-01,0.0006792256800593672
2013-06-02,-0.05354287923280031
2013-06-03,-0.0005520314174387062
2013-06-04,-0.004486845707023828
2013-06-05,0.0017027682083934714
2013-06-06,-0.030305204019223403
2013-06-07,-0.05506554639475016
2013-06-08,-0.028225525012019068
2013-06-09,-0.07641373660588872
2013-06-10,0.0628847589042413
2013-06-11,0.021837022441362833
2013-06-12,-0.0069385415556768235
2013-06-13,-0.03865195184554247
2013-06-14,-0.039473389582778025
2013-06-15,-0.0002378235776091715
2013-06-16,-0.004292126296814633
2013-06-17,0.023731455535513864
2013-06-18,0.05452029068945936
2013-06-19,0.007478462264428132
2013-06-20,0.016772306164723
2013-06-21,0.003325915676552619
2013-06-22,-0.009948526455700856
2013-06-23,-0.0037949860232050535
2013-06-24,-0.046411933894768845
2013-06-25,0.01073778839952193
2013-06-26,0.0009688566648314754
2013-06-27,-0.02174737880962954
2013-06-28,-0.06773600048648945
2013-06-29,0.003982130433683548
2013-06-30,0.018871718799814186
2013-07-01,-0.08474114967589304
2013-07-02,0.020460551638953436
2013-07-03,-0.13657212702595672
2013-07-04,0.03885650634312536
2013-07-05,-0.14826939496994795
2013-07-06,0.027526841093576004
2013-07-07,0.060636450792856095
2013-07-08,0.02407024572292092
2013-07-09,0.002112378615617269
2013-07-10,0.1286186639299296
2013-07-11,0.022929216851177804
2013-07-12,0.05034225537792154
2013-07-13,0.04806274743891088
2013-07-14,-0.03316187832134515
2013-07-15,0.03843659479437207
2013-07-16,-0.00719920664291453
2013-07-17,0.011038085509302908
2013-07-18,-0.0805110237479358
2013-07-19,0.017881479002814383
2013-07-20,-0.03033979797454359
2013-07-21,0.015604116075983032
2013-07-22,0.008399475094291283
2013-07-23,0.04269876247766283
2013-07-24,-0.011269892404000215
2013-07-25,0.024546469267211702
2013-07-26,-0.009794038461784818
2013-07-27,-0.01915355096744864
2013-07-28,0.058684075058274984
2013-07-29,0.01339465685318631
2013-07-30,0.06429351920726004
2013-07-31,-0.018702742099077803
2013-08-01,-0.018192380885756438
2013-08-02,0.0035138619469145
2013-08-03,-0.002676101897598796
2013-08-04,0.011227379076968413
2013-08-05,0.007130862288779459
2013-08-06,0.004607573112160162
2013-08-07,-0.0009537683332784217
2013-08-08,-0.034528585155908065
2013-08-09,-0.002186757316538671
2013-08-10,-0.0001488710920353744
2013-08-11,0.020823423139646493
2013-08-12,0.0142523166762031
2013-08-13,0.02266091498308548
2013-08-14,0.031032869718978097
2013-08-15,-0.021316157019671173
2013-08-16,-0.0093338476498009
2013-08-17,0.04117305535930573
2013-08-18,-0.0003179227777594739
2013-08-19,0.046606104543267884
2013-08-20,0.017022812884304617
2013-08-21,0.015260036468083257
2013-08-22,-0.015825356623053857
2013-08-23,-0.021382198059778947
2013-08-24,0.011999405917282165
2013-08-25,0.014723869911382298
2013-08-26,-0.01638173323288663
2013-08-27,0.0512353273436889
2013-08-28,-0.030169125219869676
2013-08-29,-0.0012579746730510505
2013-08-30,0.08856186676141521
2013-08-31,0.01196083988000453
2013-09-01,0.021519810088992522
2013-09-02,-0.01837218242588919
2013-09-03,0.007556171753428521
2013-09-04,-0.06630771656605307
2013-09-05,-0.0029002102069553334
2013-09-06,-0.05421434474979479
2013-09-07,0.041120889408574036
2013-09-08,-0.018599070944691914
2013-09-09,0.04254035563842326
2013-09-10,-0.011891981718365786
2013-09-11,0.07291664338397513
2013-09-12,-0.014674251741552454
2013-09-13,0.013402060807423443
2013-09-14,-0.04244338883783959
2013-09-15,0.010198149614704942
2013-09-16,0.012000526549587949
2013-09-17,0.008740834249761976
2013-09-18,0.0013450439275101722
2013-09-19,-0.011844485629091012
2013-09-20,-0.02270733980364287
2013-09-21,0.002205950847705785
2013-09-22,0.01465772428648828
2013-09-23,-0.024884304277604546
2013-09-24,0.010873471944044292
2013-09-25,0.0058294454093323796
2013-09-26,0.004676669043858989
2013-09-27,0.04614234050034123
2013-09-28,0.003695632162946172
2013-09-29,0.01675862347659519
2013-09-30,-0.03300465974588797
2013-10-01,-0.0066304545589207994
2013-10-02,-0.14389547407431577
2013-10-03,0.08758872590341471
2013-10-04,0.044636279006717614
2013-10-05,-0.005917798145352768
2013-10-06,0.00524986625360856
2013-10-07,-0.018615160708291046
2013-10-08,-0.0073756460727965895
2013-10-09,0.034458571214312485
2013-10-10,0.002039635244989759
2013-10-11,-0.0017626791698099895
2013-10-12,0.03317569572266451
2013-10-13,0.014955286507604464
