Ticker,Algo,Network,Exchange,Name
HST,Other,POW,Cryptopia,decision-token
DCR,Blake256,Hybrid,Cryptopia,decred
ONION,X13,Hybrid,Cryptopia,deeponion
DNR,Scrypt,Hybrid,Cryptopia,denarius-dnr
DCN,None,Asset,Cryptopia,dentacoin
DEUS,Other,POW,Cryptopia,deuscoin
DEM,SHA256,Hybrid,Cryptopia,deutsche-emark
DFS,Scrypt,Hybrid,Cryptopia,dfscoin
DIBC,Scrypt,POW,Cryptopia,dibcoin
DGB,Scrypt,POW,Cryptopia,digibyte
DGPT,Other,POW,Cryptopia,digipulse
DGC,Scrypt,POW,Cryptopia,digitalcoin
DP,SHA256,POS,Cryptopia,digitalprice
DIME,Quark,POW,Cryptopia,dimecoin
DCY,CryptoNight,POW,Cryptopia,dinastycoin
DIVX,Other,POW,Cryptopia,divi
NOTE,Scrypt,POW,Cryptopia,dnotes
DOGE,Scrypt,POW,Cryptopia,dogecoin
DON,Scrypt,POW,Cryptopia,donationcoin
DOPE,Scrypt,POW,Cryptopia,dopecoin
DOT,None,Asset,Cryptopia,dotcoin
DRXNE,POS,POS,Cryptopia,droxne
DBIX,Dagger,POW,Cryptopia,dubaicoin-dbix
EFL,Scrypt,POW,Cryptopia,e-gulden
ECOB,None,Asset,Cryptopia,ecobit
ECO,Scrypt,Hybrid,Cryptopia,ecocoin
EDRC,SHA256,Hybrid,Cryptopia,edrcoin
EMC2,Scrypt,POW,Cryptopia,einsteinium
ELC,Scrypt,POW,Cryptopia,elacoin
ETN,CryptoNight,Other,Cryptopia,electroneum
ELLA,Ethash,POW,Cryptopia,ellaism
EMB,X13,Hybrid,Cryptopia,embercoin
MBRS,None,Asset,Cryptopia,embers
EMD,Scrypt,POW,Cryptopia,emerald
EMC,SHA256,Hybrid,Cryptopia,emercoin
ETT,None,Asset,Cryptopia,encryptotel
ENJ,None,Asset,Cryptopia,enjin-coin
EQT,X11,Hybrid,Cryptopia,equitrader
ERY,X11,Hybrid,Cryptopia,eryllium
ETH,Ethash,POW,Cryptopia,ethereum
ETC,Dagger,POW,Cryptopia,ethereum-classic
ETHD,None,Asset,Cryptopia,ethereum-dark
RIYA,Scrypt,POW,Cryptopia,etheriya
EUC,SHA256,POW,Cryptopia,eurocoin
EGC,POS,POS,Cryptopia,evergreencoin
EVR,None,Asset,Cryptopia,everus
EVIL,X11,POS,Cryptopia,evil-coin
EVO,SHA256,Hybrid,Cryptopia,evotion
EXP,Dagger,POW,Cryptopia,expanse
FCN,Other,POP,Cryptopia,fantomcoin
FCT,Scrypt,POW,Cryptopia,factom
FST,Scrypt,POW,Cryptopia,fastcoin
FAZZ,None,POS,Cryptopia,fazzcoin
FTC,NeoScrypt,POW,Cryptopia,feathercoin
FFC,SHA256,POW,Cryptopia,fireflycoin
FRC,SHA256,POW,Cryptopia,freicoin
FLASH,Scrypt,POW,Cryptopia,flash
FLAX,C11,Other,Cryptopia,flaxscript
FLT,Scrypt,Hybrid,Cryptopia,fluttercoin
FONZ,SHA256,POS,Cryptopia,fonziecoin
XFT,POS,POS,Cryptopia,footy-cash
FRN,Scrypt,POW,Cryptopia,francs
FUEL,Scrypt,POW,Cryptopia,etherparty
FJC,Scrypt,POW,Cryptopia,fujicoin
FUZZ,Scrypt,POW,Cryptopia,fuzzballs
GAIA,POS,POS,Cryptopia,gaia
GAME,Scrypt,POW,Cryptopia,gamecredits
UNITS,None,POS,Cryptopia,gameunits
GAP,Scrypt,POW,Cryptopia,gapcoin
GAY,POS,POS,Cryptopia,gaycoin
GCN,Scrypt,POW,Cryptopia,gcoin
GEERT,Scrypt,POW,Cryptopia,geertcoin
DNA,Scrypt,POW,Cryptopia,encrypgen
GEO,Qubit,POW,Cryptopia,geocoin
BSTY,Yescrypt,POW,Cryptopia,globalboost-y
GNO,None,Asset,Cryptopia,gnosis-gno
GBX,NeoScrypt,POW,Cryptopia,gobyte
GLD,Scrypt,POW,Cryptopia,goldcoin
GP,X11,POS,Cryptopia,goldpieces
GPL,Scrypt_jane,Hybrid,Cryptopia,gold-pressed-latinum
XGR,X11,POS,Cryptopia,goldreserve
GNT,None,Asset,Cryptopia,golem-network-tokens
GPU,Scrypt_n,POW,Cryptopia,gpu-coin
GRN,X11,POW,Cryptopia,granitecoin
GRS,Groestl,POW,Cryptopia,groestlcoin
GRWI,Scrypt,POW,Cryptopia,growers-international
GUN,NeoScrypt,POW,Cryptopia,guncoin
HAL,NeoScrypt,Hybrid,Cryptopia,halcyon
HEAT,Scrypt,POW,Cryptopia,heat-ledger
HXX,Lyra2Zoin,POW,Cryptopia,hexx
HBN,Scrypt,Hybrid,Cryptopia,hobonickels
HDLB,None,Asset,Cryptopia,hodl-bucks
HBC,X11,Hybrid,Cryptopia,homeblockcoin
HSR,Scrypt,POW,Cryptopia,hshare
HUSH,Equihash,Other,Cryptopia,hush
HYP,POS,POS,Cryptopia,hyperstake
I0C,SHA256,POW,Cryptopia,i0coin
ICOB,Scrypt,Hybrid,Cryptopia,icobid
NKA,SHA256,Hybrid,Cryptopia,incakoin
IMS,Scrypt,Hybrid,Cryptopia,independent-money-system
IFC,Scrypt,POW,Cryptopia,infinitecoin
IFLT,X11,Hybrid,Cryptopia,inflationcoin
INFX,X11,Hybrid,Cryptopia,influxcoin
INN,Scrypt,POW,Cryptopia,innova
INSN,X11,Hybrid,Cryptopia,insanecoin-insn
HOLD,Scrypt,Hybrid,Cryptopia,interstellar-holdings
IFT,Other,Asset,Cryptopia,investfeed
IQT,None,Asset,Cryptopia,iquant
IRL,Scrypt,POW,Cryptopia,irishcoin
ITI,POS,POS,Cryptopia,iticoin
IXC,SHA256,POW,Cryptopia,ixcoin
JET,None,Asset,Cryptopia,jetcoin
JIN,SHA256,POW,Cryptopia,jin-coin
XJO,SHA256,POW,Cryptopia,joulecoin
KRB,CryptoNight,POW,Cryptopia,karbowanec
KAYI,POS,POS,Cryptopia,kayicoin
KEK,POS,POS,Cryptopia,kekcoin
MEOW,Scrypt,POW,Cryptopia,kittehcoin
KOBO,Scrypt,POW,Cryptopia,kobocoin
KMD,Equihash,POW,Cryptopia,komodo
KRONE,Scrypt,POW,Cryptopia,kronecoin
KBR,Other,Asset,Cryptopia,kubera-coin
KURT,X11,POW,Cryptopia,kurrent
KUSH,POS,POS,Cryptopia,kushcoin
KNC,None,Asset,Cryptopia,kyber-network
LANA,SHA256,Hybrid,Cryptopia,lanacoin
LBC,Other,POW,Cryptopia,library-credit
LEPEN,POS,POS,Cryptopia,lepen
LEA,SHA256,POW,Cryptopia,leacoin
XLC,CryptoNight,POW,Cryptopia,leviarcoin
LINDA,Scrypt,Hybrid,Cryptopia,linda
LINX,Scrypt,POW,Cryptopia,linx
LTB,Scrypt,POW,Cryptopia,litebar
LBTC,Scrypt,POW,Cryptopia,litebitcoin
LTC,Scrypt,POW,Cryptopia,litecoin
LCP,Scrypt,Hybrid,Cryptopia,litecoin-plus
LTCU,Scrypt,POW,Cryptopia,litecoin-ultra
LDOGE,Scrypt,POS,Cryptopia,litedoge
LOT,Scrypt,POW,Cryptopia,lottocoin
LUX,Other,Hybrid,Cryptopia,luxcoin
MAC,Other,POW,Cryptopia,machinecoin
MCRN,POS,POS,Cryptopia,macron
XMG,M7M,POS,Cryptopia,magi
MAGE,Scrypt,Hybrid,Cryptopia,magiccoin
MAGN,SHA256,Hybrid,Cryptopia,magnetcoin
MAID,None,Asset,Cryptopia,maidsafecoin
MAR,X11,Hybrid,Cryptopia,marijuanacoin
MARS,Scrypt,POW,Cryptopia,marscoin
MARX,X11,POW,Cryptopia,marxcoin
MTNC,SHA256,POS,Cryptopia,masternodecoin
MZC,SHA256,POW,Cryptopia,mazacoin
MEC,Scrypt,POW,Cryptopia,megacoin
MTL,None,Asset,Cryptopia,metal
MNE,Scrypt,POW,Cryptopia,minereum
MNM,X13,Hybrid,Cryptopia,mineum
MINEX,None,Asset,Cryptopia,minex
MINT,POS,POS,Cryptopia,mintcoin
MGO,None,Asset,Cryptopia,mobilego
MOIN,POS,POS,Cryptopia,moin
MOJO,Scrypt,POS,Cryptopia,mojocoin
XMCC,X11,Hybrid,Cryptopia,monacocoin
XMR,CryptoNight,POW,Cryptopia,monero
$$$,Scrypt,POW,Cryptopia,money
MONK,X11,POW,Cryptopia,monkey-project
MSP,Ethash,Asset,Cryptopia,mothership
MOTO,Scrypt,POW,Cryptopia,motocoin
MUSIC,Ethash,POW,Cryptopia,musicoin
MCI,None,Asset,Cryptopia,musiconomi
MST,X11,POS,Cryptopia,mustangcoin
MYB,None,Asset,Cryptopia,mybit-token
XMY,Other,POW,Cryptopia,myriad
WISH,None,POW,Cryptopia,mywish
NMC,SHA256,POW,Cryptopia,namecoin
NAMO,Nist5,Hybrid,Cryptopia,namocoin
NAV,X13,POS,Cryptopia,nav-coin
NEBL,POS,POS,Cryptopia,neblio
NEO,Scrypt,POW,Cryptopia,neo
NET,Scrypt,Hybrid,Cryptopia,nimiq
NETKO,Blake2s,Hybrid,Cryptopia,netko
NTRN,POS,POS,Cryptopia,neutron
NEVA,Blake2s,Hybrid,Cryptopia,nevacoin
XEM,Other,DPOS,Cryptopia,nem
NXS,SHA3,Hybrid,Cryptopia,nexus
NOBL,Scrypt,Hybrid,Cryptopia,noblecoin
NLC2,SHA256,POS,Cryptopia,nolimitcoin
NVC,Scrypt,Hybrid,Cryptopia,novacoin
USNBT,POS,POS,Cryptopia,nubits
NSR,POS,POS,Cryptopia,nushares
NYAN,Scrypt,POW,Cryptopia,nyancoin
ODN,POS,POS,Cryptopia,obsidian
888,Scrypt,POW,Cryptopia,octocoin
OK,POS,POS,Cryptopia,okcash
OMG,None,Asset,Cryptopia,omisego
OPAL,Scrypt,POW,Cryptopia,opal
OTN,None,Asset,Cryptopia,open-trading-network
ORB,NeoScrypt,Hybrid,Cryptopia,orbitcoin
ORME,Ethash,POW,Cryptopia,ormeus-coin
OX,None,Asset,Cryptopia,ox-fina
PRL,None,Asset,Cryptopia,oyster-pearl
PAC,SHA256,POS,Cryptopia,paccoin
PAK,Scrypt,POW,Cryptopia,pakcoin
PND,POS,POS,Cryptopia,pandacoin-pnd
DUO,Scrypt,POW,Cryptopia,parallelcoin
PASC,Other,POW,Cryptopia,pascal-coin
PASL,Other,POW,Cryptopia,pascal-lite
CON,X13,POS,Cryptopia,paycon
PPC,SHA256,Hybrid,Cryptopia,peercoin
PTC,Scrypt,POW,Cryptopia,pesetacoin
XPD,SHA256,POW,Cryptopia,petrodollar
