AvailableSupply,BTCPrice,CMCname,Change1h,Change24h,Change7d,MaxSupply,Mcap,Symbol,TotalSupply,USDPrice,Vol24h,bctpages,Date,Time,,,,
116845228,0.00001256,dopecoin,-4.99,13.63,-20.4,,23733369,DOPE,116845228,0.203118,2017890,457,1/7/2018,10:40:45 AM,,,,
,0.00001117,francs,11.51,51.43,114.82,,,FRN,5044183,0.180005,9017.56,47,1/7/2018,10:33:50 AM,,,,
18345624,0.00000203,motocoin,3.82,-9.51,34.81,,602113,MOTO,30876254,0.0328205,2217.06,106,1/7/2018,10:31:52 AM,,,,
12384976,0.00000225,x-coin,8.15,4.35,80.47,,449209,XCO,12384976,0.0362705,5510.04,55,1/7/2018,10:25:40 AM,,,,
11986617,0.00014684,verify,1.87,15.99,186.22,,28533063,CRED,29997543,2.38041,793230,8,1/7/2018,10:23:47 AM,,,,
1349573390,0.00000032,mazacoin,-8.39,49.09,276.45,,6966795,MZC,1349573390,0.00516222,120675,156,1/7/2018,10:18:37 AM,,,,
14083450,0.00000136,solarflarecoin,-2.76,28.87,161.22,,308826,SFC,14083450,0.0219283,7987.57,25,1/7/2018,10:12:26 AM,,,,
,0.000000004,embercoin,,-1.97,110.96,,,EMB,,6.14133E-05,,74,1/7/2018,10:10:37 PM,,,,
,0.00012169,chronologic,-14.38,-27.33,-33.77,,,DAY,763931,1.96093,11314.8,36,1/7/2018,10:06:13 AM,,,,
,0.0000355,madcoin,,,,,,MDC,2115788,0.590684,,19,1/7/2018,10:04:17 PM,,,,
1254362057,0.00000042,fujicoin,-10.5,50.71,326.54,10000000000,8410912,FJC,1254362057,0.00670533,292577,59,1/7/2018,10:00:17 AM,,,,
,0.00029656,homeblockcoin,0.59,-22.83,-56.13,28000000,,HBC,5935988,4.77631,671491,287,1/7/2018,10:00:01 PM,,,,
,0.00002511,cappasity,5.8,-5.31,424.12,,,CAPP,438686537,0.404414,2543890,54,1/7/2018,09:59:41 PM,,,,
32820913,0.00000015,morningstar-payments,,,341.19,,74994,MRNG,32820913,0.00228495,,39,1/7/2018,09:52:38 PM,,,,
16737400,0.00028939,pascal-coin,-4.41,8.38,69.98,,78195961,PASC,16737400,4.67193,1646300,393,1/7/2018,09:48:18 AM,,,,
,0.00000007,pluscoin,-0.77,3.21,55.04,,,PLC,82500000000,0.00110734,39354.4,15,1/7/2018,09:45:26 PM,,,,
160000000,0.00000018,brat,-2.19,15.72,436.43,,456301,BRAT,1000000000,0.00285188,29914.9,21,1/7/2018,09:44:41 PM,,,,
,0.00000029,html-coin,0.55,-7.21,597.95,90000000000,,HTML,,0.00467251,8288200,35,1/7/2018,09:44:40 PM,,,,
1860674,0.00002994,wyvern,-0.57,54.49,183.45,,898290,WYV,1860674,0.482777,8427.65,10,1/7/2018,09:43:10 PM,,,,
5091200,0.00000114,geertcoin,11.54,18.33,53.16,,93380,GEERT,5091200,0.0183414,5955.31,7,1/7/2018,09:42:09 PM,,,,
379168,0.00007049,honey,-2.66,24.94,73.22,,431690,HONEY,379168,1.13852,5433.38,57,1/7/2018,09:40:17 PM,,,,
5550102,0.0000007,bowscoin,-0.41,15.39,18.71,,62572,BSC,5550102,0.011274,143.453,16,1/7/2018,09:39:25 AM,,,,
,0.00000001,yescoin,-0.33,-4.52,15.69,,,YES,,0.000161139,3401.24,21,1/7/2018,09:37:59 PM,,,,
2196601583,0.00001185,poet,1.53,-11.34,97.84,,421382868,POE,3141592653,0.191834,55184300,7,1/7/2018,09:37:25 AM,,,,
,0.00001779,encryptotel-eth,2.56,4.91,85.06,,,ETT,,0.286622,24810.1,213,1/7/2018,09:37:09 PM,,,,
64853743,0.0000015,droxne,0.65,9.04,133.05,,1568630,DRXNE,85420964,0.0241872,73072.2,71,1/7/2018,09:36:23 PM,,,,
,0.00000009,cyder,-0.33,13.37,161.3,,,CYDER,,0.00145025,3581.31,39,1/7/2018,09:35:56 AM,,,,
6731528,0.00014962,qvolta,-4.1,-7.63,438.96,,16292654,QVT,10096722,2.42035,362272,23,1/7/2018,09:35:40 AM,,,,
,0.0134154,segwit2x,-0.24,9.31,-20.94,,,B2X,,216.064,1038890,80,1/7/2018,09:35:27 PM,,,,
199065928,0.00000049,guncoin,4.62,68.94,140.24,,1572852,GUN,199065928,0.00790116,50709.6,99,1/7/2018,09:34:48 PM,,,,
96415954,0.00000157,procurrency,1.11,-5.72,23.98,,2441850,PROC,15003600749,0.0253262,17667.3,91,1/7/2018,09:31:51 PM,,,,
894823,0.00007788,postoken,2.29,20.82,94.4,,1123772,POS,1129325,1.25586,32009.7,429,1/7/2018,09:30:18 PM,,,,
3665735,0.00014246,ellaism,-0.01,65.48,98.39,280000000,8424556,ELLA,3665735,2.29819,510491,71,1/7/2018,09:29:51 PM,,,,
322214524,0.00000164,fluttercoin,12.85,21.99,233.06,,8524636,FLT,322214524,0.0264564,299852,71,1/7/2018,09:29:50 AM,,,,
44100000,0.00005606,posw-coin,-0.21,3.46,59.03,,40080594,POSW,70000000,0.908857,517309,16,1/7/2018,09:29:34 AM,,,,
22414218,0.00000128,revolvercoin,-3.59,26.18,153.83,,463414,XRE,22414218,0.020675,4501.11,91,1/7/2018,09:26:16 PM,,,,
7745628,0.00009028,magi,-1.27,-7.48,12.74,,11280655,XMG,7745628,1.45639,822145,1122,1/7/2018,09:25:54 PM,,,,
17813302,0.00002976,unify,-0.14,65.88,228.58,19276800,8551169,UNIFY,17813302,0.480044,289280,128,1/7/2018,09:24:48 PM,,,,
,0.00000584,hyper,-0.22,-3.82,63.89,,,HYPER,,0.094202,395.779,67,1/7/2018,09:24:43 PM,,,,
2272678,0.00004798,yenten,-1.45,152.54,693.66,84000000,1758300,YTN,2512650,0.773669,58845.8,102,1/7/2018,09:23:29 PM,,,,
7130814,0.0000158,chancoin,-0.79,-0.3,354.34,,1817374,4CHN,7130814,0.254862,42791.2,5,1/7/2018,09:21:31 PM,,,,
15746668,0.00002367,copico,-6.04,-9.58,94.21,,6012755,XCPO,22940540,0.381843,239576,18,1/7/2018,09:20:43 PM,,,,
253773946,0.00000343,quark,1.27,20.5,186.09,,14089707,QRK,253773946,0.0555207,376626,29,1/7/2018,09:19:22 PM,,,,
140262505,0.00000055,aricoin,2.47,82.94,218.38,,1243939,ARI,140262505,0.00886865,22776.5,11,1/7/2018,09:17:48 PM,,,,
1012766,0.00063,vivo,1.93,19.17,112.78,,10292838,VIVO,1832766,10.1631,293545,85,1/7/2018,09:17:30 PM,,,,
1849570,0.00007599,minereum,2.99,29.07,113.3,,2266777,MNE,1849570,1.22557,54642.1,409,1/7/2018,09:16:19 PM,,,,
,0.00000227,viuly,0.21,11.19,154.5,,,VIU,1000000000,0.0365926,1292950,31,1/7/2018,09:16:15 AM,,,,
106218161,0.00000634,force,-15.13,-27.86,120.68,200000000,10891823,FOR,109442055,0.102542,37920.5,23,1/7/2018,09:16:06 PM,,,,
15000000,0.00007638,nvo,-0.38,-24.17,19.15,,18534750,NVST,15000000,1.23565,20577.6,124,1/7/2018,09:15:30 PM,,,,
23760040,0.00001254,smartcoin,106.34,166.82,170.2,,4807535,SMC,23760040,0.202337,52555.1,67,1/7/2018,09:15:28 PM,,,,
,0.0000002,bitbase,-3.1,-15.99,25.11,100000000,,BTBc,20257950,0.00322278,1911.15,126,1/7/2018,09:15:12 PM,,,,
2192454,0.00166514,bitcore,1.89,2.79,4.65,,59183099,BTX,16736875,26.994,3990510,565,1/7/2018,09:15:06 PM,,,,
45052855,0.00035828,cryptonex,0.19,6.37,20.13,210000000,261270064,CNX,106490480,5.79919,282811,50,1/7/2018,09:15:04 AM,,,,
323782198,0.00000276,intensecoin,1.14,46.04,24.34,999481516,14455386,ITNS,323782198,0.0446454,175280,205,1/7/2018,09:14:59 PM,,,,
643012000,0.000005,voisecom,3.24,28.95,388.58,,52120495,VOISE,825578000,0.0810568,3079760,107,1/7/2018,09:14:48 PM,,,,
30324292,0.00010009,elixir,3.56,-4.52,75.63,,49042265,ELIX,30324292,1.61726,1869900,136,1/7/2018,09:14:46 PM,,,,
4736664,0.00064162,deeponion,4.11,54.59,42.17,,49267937,ONION,19304529,10.4014,1827470,45,1/7/2018,09:14:33 PM,,,,
735124,0.00012728,trident,-0.71,-6.79,374.48,,1508791,TRDT,3000000,2.05243,29820.6,52,1/7/2018,09:13:36 PM,,,,
375000000,0.00000947,hive,0.91,-1.46,73.95,,57543750,HVN,500000000,0.15345,629509,76,1/7/2018,09:13:18 PM,,,,
61975080,0.00010066,coss,1.33,63.05,554.64,200000000,100711365,COSS,104000000,1.62503,8250510,101,1/7/2018,09:12:50 PM,,,,
4500000,0.00001604,bitcoal,4.23,106.71,551.29,12500000,1163889,COAL,4500000,0.258642,181192,25,1/7/2018,09:11:01 PM,,,,
930767,0.00002199,franko,-0.47,39.72,95.6,,329643,FRK,930767,0.354163,15.9373,97,1/7/2018,09:09:55 PM,,,,
974466187,0.00001129,dynamic-trading-rights,36.12,78.76,147.33,,178056411,DTR,3750000000,0.182722,1090780,14,1/7/2018,09:09:51 PM,,,,
